stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pgc,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,0,0,0,0,1,0,0,9,0,2,0,2,1,4,1,27,0
 24-34,0,0.82,1.64,0,9.03,0,0,0,0.82,0,0.82,1.64,0,0.82,7.39,0,9.03,1.64,0,0,1.64,0.82,20.52,0.82
 36-46,0,0,0,0,8.06,0,0.81,0,0.81,0,0,1.61,0,0,9.67,0,16.11,0.81,0,0.81,0.81,0,12.89,0
 48-58,0,0,0.57,2.3,9.75,0,0,0,0,0.57,0,0,0.57,0,4.59,0.57,8.61,1.15,0,0,1.72,0,13.77,0
 60-70,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0.98,0,4.91,0,11.78,0,0,0,0,0,9.82,0
 72-82,0,0,0,2.94,4.91,0.98,0,0,0.98,1.96,0,0.98,0,0,5.89,0,16.69,3.93,0,0,0,0,3.93,0
 84-94,0,1.06,0,3.19,3.19,0,0,0,1.06,1.06,0,0,1.06,0,4.25,0,12.74,9.56,0,0,0,0,4.25,0
 96-106,0,2.19,0,0,5.46,0,0,2.19,0,2.19,0,0,0,0,3.28,0,15.3,9.84,0,0,0,0,1.09,0
108-118,0,0,0.77,0.77,5.36,0,0,0,0,4.6,0,0.77,0,0,4.6,0,8.43,7.66,0,0,0.77,0,3.06,0.77
120,0,0,0,3.92,0,0,0,1.96,0,5.88,0,3.92,0,0,0,0,9.8,9.8,0,0,1.96,0,5.88,0
