stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,1251.9,22257.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909.28,0,0,0,0,0,0,0,0
  5-6,1268.83,14337.22,18.39,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,343.26,36.78,0,0,110.33,367.78,0,0,0,0,0,0,0,0
  7-9,173.5,105.15,244.47,0,0,381.16,0,0,0,0,210.3,0,0,0,0,0,0,0,4098.16,162.98,0,0,1614.03,28.92,47.32,0,0,0,0,0,0,0
 10-12,0,50.35,78.67,0,9.44,154.2,0,0,0,0,28.32,0,0,0,0,0,0,0,1305.99,78.67,0,0,547.57,3.15,15.73,3.15,37.76,0,3.15,0,0,0
 14-21,0,0,3,45,11,10,0,0,1,6,12,1,0,1,20,0,0,17,153,13,1,2,7,17,6,28,4,3,57,57,0,0
 24-34,0,0,0,3.28,0.82,0.82,0.82,0,1.64,0,15.6,0,1.64,0,0.82,0,0,2.46,18.88,0.82,0,0,0,10.67,0,0,0,0.82,1.64,5.75,0.82,0
 36-46,0,0,0,1.61,0,0,0,0,0.81,0,0.81,0,0.81,0,2.42,0,0,0,8.06,3.22,0.81,0,0,1.61,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0,0.57,0,0,1.15,0,0.57,0,0,0,1.72,0,0,0,1.72,0,0,0,0,1.15,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0.98,0.98,0,0,0,0,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,2.12,0,0,0,1.06,0,0,1.06,0,2.12,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,1.53,0,0,0,0,1.53,0,0.77,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
