stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,115.66,5.26,0,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,34.62,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,6,3,0,0,0,1,0,0,0,0,0,0,5,3,28,0,0,0,1,0,3,0,3,11,1,0,0
 24-34,0,0,0,0.82,1.64,4.93,0,0.82,0,2.46,0,0,0,0,0.82,2.46,6.57,0.82,35.3,0,0,0.82,0,0,0,0,1.64,10.67,2.46,0,0.82
 36-46,0,0,0,0,0,7.25,0,0,0,2.42,0,0,0,0,0,0,4.83,0.81,20.95,0.81,0,0,0,0.81,0,0,0,7.25,0.81,0,1.61
 48-58,0.57,0,0,0,0,9.18,0,0,0.57,2.87,0,0,0,0,0,1.15,4.59,2.3,20.66,0,0,0.57,0,0.57,0,0,0,3.44,1.72,0,1.72
 60-70,0,0,0,0,0.98,3.93,0,0,0,3.93,0,0,0.98,0.98,0.98,0.98,11.78,0.98,21.59,0,1.96,0,0,0,0,0,0,4.91,0.98,0,0.98
 72-82,0,0,0,0,0,5.89,0,0,0.98,3.93,0,0,0,0,0,0,6.87,1.96,9.82,0,0.98,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,5.31,0,0,0,0,0,1.06,4.25,0,5.31,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,1.09,0,1.09,1.09,3.28,0,1.09,0,0,0,0,2.19,0,3.28,0,1.09,0,0,1.09,0,0,0,2.19,0,1.09,0
108-118,0,0,0,0,0,2.3,0.77,0,0,3.06,0,0,0,0.77,0,0,3.06,0,3.83,0,0,0,0,0.77,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0,1.96,0,0,0
