stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,34.17,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,89.38,7.89,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,0,12.59,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,116.44,3.15,0,0,44.06,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,2,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,1,235,0,0,0,0,2,0,7,0,0,12,128,0,0,0,0,0
 24-34,0,0,0.82,0,4.1,1.64,23.8,0,0.82,0.82,9.85,0.82,0,0,0,2.46,0,0,0,0,9.03,0,0,4.1,1104.87,0.82,10.67,1.64,0,3.28,0,0,0,0,4.93,242.97,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,32.23,0.81,0,0,21.75,0,0,0,0,0,0,0,0,0.81,6.45,0,0.81,0.81,2135.83,0.81,9.67,1.61,0,5.64,0,0,0,0,0,352.88,0,0,2.42,0,0.81
 48-58,0,0,0,0,3.44,0.57,122.22,0,0.57,0.57,33.28,0,0.57,0,0,0,0.57,0.57,0,0.57,17.79,1.15,0,3.44,1923.97,0.57,3.44,0,0,2.3,0,0,0,0.57,0,265.67,0,0,1.72,0,3.44
 60-70,0,0,0.98,0,2.94,0.98,174.71,0,0,1.96,24.54,0,0,0.98,0,0,0.98,0,0,0.98,16.69,1.96,0,0.98,1975.8,0,5.89,0.98,0,0.98,0,0,0.98,0,0,155.08,0,0,2.94,0,0
 72-82,0,0,1.96,0,10.8,7.85,203.2,0,0,0,32.39,0,0,0,0.98,0,0.98,0,0,0,24.54,0,2.94,1.96,1303.65,0,4.91,0,0,2.94,0,0,0,0,0,81.48,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,0,7.43,0,151.87,0,0,2.12,25.49,1.06,1.06,0,2.12,0,1.06,2.12,2.12,0,23.36,0,1.06,2.12,696.7,0,3.19,1.06,0,9.56,0,0,0,0,0,53.1,2.12,1.06,0,1.06,0
 96-106,0,0,0,0,14.21,2.19,85.24,0,0,1.09,24.04,1.09,0,0,1.09,0,0,0,0,0,10.93,0,0,1.09,540.96,0,6.56,0,0,9.84,0,0,1.09,1.09,0,28.41,0,0,2.19,1.09,0
108-118,0,0,0.77,0.77,13.02,2.3,54.38,2.3,0.77,0.77,19.15,1.53,0,0,0,0,0,0,1.53,0.77,12.26,0.77,1.53,0.77,665.62,0,2.3,0,0,4.6,0,0,0.77,0,0,8.43,0,0.77,2.3,0,1.53
120,0,0,0,0,9.8,1.96,68.59,1.96,0,0,21.56,1.96,0,0,3.92,0,0,1.96,0,0,17.64,0,0,1.96,566.38,0,1.96,1.96,0,5.88,0,0,3.92,0,0,13.72,0,0,0,0,1.96
