stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,3,0,0,0,1,0,0,0,0,0,0,4,0,2,24,0,0,0,0,3,3,0,3,14,0,0
 24-34,0,0.82,0.82,0,0,0.82,0,0,0,2.46,0,0.82,0.82,0.82,0,0,1.64,0,2.46,25.45,0.82,0.82,0,0,10.67,0,1.64,0.82,9.85,0,0.82
 36-46,0,0,0,0,0,12.09,0,0,0,4.83,0,0.81,0,0,0,0.81,6.45,0,1.61,117.63,0,0.81,1.61,0,4.03,0,0,0,44.31,0.81,3.22
 48-58,0,0,0,0,0,9.75,0,0.57,0,2.3,0,0,0,0,0,0,4.02,0,0,35.58,0,0.57,0.57,0,1.15,0,0,0,12.05,0,1.72
 60-70,0,0,0.98,0,0,16.69,0,0,0,1.96,0,0,0,0,0.98,0,5.89,0,0,48.09,0.98,0,0,0,2.94,0,0,0,8.83,0,1.96
 72-82,0.98,0,0.98,0.98,0.98,15.71,0,0,0,7.85,0,0,0.98,0,0,0,10.8,0,0.98,53.01,0,0,0.98,0,0.98,0,0,0,6.87,1.96,1.96
 84-94,0,0,0,1.06,0,13.81,1.06,0,0,8.5,0,0,1.06,0,0,0,3.19,1.06,0,24.43,1.06,1.06,1.06,0,2.12,0,0,0,2.12,0,0
 96-106,0,0,1.09,4.37,0,8.74,0,0,0,3.28,1.09,0,0,1.09,0,0,3.28,0,0,10.93,0,3.28,0,0,1.09,0,0,0,0,0,3.28
108-118,0,0,2.3,1.53,0,6.89,0,0.77,1.53,5.36,0,0,3.06,0,0,0,0.77,0,1.53,14.55,0,0.77,0,0.77,5.36,0,0.77,0,2.3,0,0
120,0,0,0,1.96,0,3.92,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,1.96,21.56,0,0,0,0,1.96,0,1.96,0,0,0,0
