stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,395.34,8657.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.05,0,0,0,0,0,0,0,0,0,0,0
  5-6,496.5,6528.06,6.13,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,239.06,30.65,0,0,67.43,0,49.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,134.06,141.95,291.79,0,2.63,0,520.49,0,0,0,0,210.3,0,0,0,0,0,0,0,0,0,0,4421.5,107.78,0,0,1803.3,0,15.77,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,169.94,308.4,0,31.47,0,528.69,0,0,0,0,116.44,0,0,0,0,0,3.15,0,0,0,0,4084.77,69.23,0,0,1649.01,0,3.15,18.88,15.73,160.5,0,12.59,9.44,0,0,0,0,0
 14-21,1,0,14,73,25,0,30,0,0,20,7,1,1,0,1,0,0,1,45,0,0,33,532,28,7,4,30,0,11,0,78,7,0,49,147,0,0,5,0,0
 24-34,0,0,2.46,18.06,4.93,0,113.28,0.82,0.82,20.52,2.46,0,0.82,1.64,1.64,0.82,2.46,0,79.62,0,0.82,29.55,804.44,3.28,7.39,6.57,0,0,16.42,0,0.82,0.82,1.64,9.03,148.57,0,0,11.49,0,0
 36-46,0,0,0,5.64,0.81,0,308.57,0,1.61,17.72,0,0,1.61,0.81,0,0.81,0.81,0.81,92.65,0,1.61,22.56,543.02,0.81,2.42,1.61,0,0,6.45,0,0.81,0,0,0,116.02,0,0,6.45,0,0.81
 48-58,0,0,0,9.18,0.57,0,364.37,0.57,1.15,22.95,0,0,1.15,2.87,0,2.3,1.15,0,68.86,0.57,1.72,21.23,238.7,0.57,1.15,0.57,0,0,1.15,0,0,0.57,0,0,44.76,0,0,3.44,0,0
 60-70,0,0,0,18.65,1.96,0,318.99,1.96,0,21.59,4.91,0,0,0.98,0,1.96,1.96,0,66.74,0,3.93,13.74,168.82,0,0,0.98,0,0,3.93,0,0,0.98,0,0,10.8,0,0,2.94,0,0
 72-82,0,0,0,7.85,0,0,76.57,0,1.96,33.38,5.89,0,0,1.96,0.98,0,0.98,0.98,67.73,2.94,0,11.78,104.06,1.96,0.98,0,0,0.98,1.96,0,0,0.98,0,0,0.98,0.98,1.96,5.89,0.98,1.96
 84-94,0,0,1.06,5.31,4.25,0,91.34,0,0,26.55,3.19,0,0,1.06,0,0,0,0,57.35,1.06,9.56,13.81,97.71,3.19,0,2.12,0,2.12,6.37,0,0,1.06,0,0,0,2.12,0,4.25,0,0
 96-106,0,0,0,4.37,0,0,69.94,0,0,16.39,2.19,0,1.09,3.28,0,0,0,1.09,24.04,0,1.09,5.46,78.68,0,3.28,2.19,0,2.19,2.19,0,0,0,0,0,1.09,0,0,12.02,0,0
108-118,0,0,0,7.66,3.06,0,46.72,0,0.77,15.32,2.3,0,0.77,3.83,0.77,2.3,1.53,1.53,28.34,0,0,9.19,79.66,0.77,0.77,1.53,0,0,1.53,0,0,3.06,0,0,1.53,1.53,0.77,6.13,0.77,0
120,0,0,0,3.92,1.96,1.96,37.24,0,0,25.48,1.96,0,0,5.88,0,0,0,1.96,21.56,0,5.88,9.8,58.79,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0
