stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,6,0,5,0,0,0,0,0,0,2,5,0,4,31,0,0,0,0,0,1,3,0,2,9,0,0,2
 24-34,0,0.82,0,2.46,0,0.82,0,0.82,0,0,6.57,2.46,0,0,20.52,0.82,0,0,0,0,0.82,0,0,0,6.57,0,0,1.64
 36-46,0,1.61,0,7.25,0.81,0,0,0,1.61,0,2.42,2.42,0,0,16.92,0.81,0,0,0,0,0.81,0,0,0,3.22,0.81,0,0
 48-58,0,0.57,0,5.74,0,0.57,0.57,1.72,0,0.57,2.3,5.16,0.57,0,14.35,0,0,0,0,0,1.15,0,0,0,2.87,0,0,0
 60-70,0,0,0,0.98,0,0,0,0.98,0,0,0,0.98,0,0,11.78,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,2.94,0,0,0,0.98,0,0,0,1.96,0,0.98,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,4.25,0,0,0,1.06,0,0,0,1.06,0,0,4.25,0,0,1.06,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,2.19,1.09,0,0,4.37,0,1.09,7.65,0,0,0,0,1.09,1.09,0,0,0,0,0,1.09,0
108-118,0,0.77,0,1.53,0,0,0,0.77,0,0,0,3.06,0,0.77,4.6,0,0.77,0,0,0,0,0,0.77,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0
