stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.26,0,0,0,160.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,103.85,0,94.41,0,9.44,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868.56,9.44,0,0,283.23,0,3.15,6.29,6.29,512.96,0,3.15,0,0,0,0,0
 14-21,1,0,7,118,59,96,3,0,0,16,0,0,0,2,0,0,0,0,39,0,0,6,621,1,0,22,4,0,1,1,42,119,0,8,35,0,1,0,0
 24-34,0,0,1.64,29.55,0,139.55,7.39,0,0,0.82,0,0,0,0,0,0.82,0,0,18.88,0,0,4.1,550.79,0.82,0.82,9.85,0,0,3.28,0,0,36.94,1.64,2.46,57.46,0,1.64,0,0
 36-46,0,0,0,11.28,0,81.37,4.83,0,4.03,1.61,0,0,0,0,0,0,0,0.81,1.61,0,0,1.61,666.29,0.81,0.81,5.64,0,0,0,0,0,27.39,0,0,99.9,0,1.61,0,0
 48-58,0,0,0.57,8.03,1.15,80.91,0,0.57,8.03,0,0.57,0,0,0,0,0,0,0,10.33,0,0.57,1.15,813.08,1.15,0.57,4.02,0,0.57,0,0,0,11.48,0,0,203.13,0,0,0,2.87
 60-70,0,0,0.98,5.89,0,67.73,0,0,16.69,0,0,0.98,0,0,0.98,0,0,0,16.69,0,0,0.98,693.94,0,2.94,2.94,0,0,2.94,0,0,23.56,0,0,268.94,0,0,0,2.94
 72-82,0,0,1.96,5.89,1.96,57.92,0.98,1.96,28.47,0.98,0,0.98,0,0,0,1.96,0,0,16.69,0,0,0.98,401.5,0,0,8.83,0,0,2.94,0,0,16.69,0,0,114.85,1.96,1.96,0.98,0
 84-94,0,0,2.12,1.06,3.19,46.73,0,0,10.62,0,0,0,0,0,0,0,0,0,14.87,1.06,1.06,1.06,201.79,0,0,1.06,0,0,0,0,0,47.79,0,0,81.78,0,0,0,0
 96-106,0,0,2.19,6.56,4.37,20.76,1.09,0,21.86,0,0,0,1.09,0,0,0,2.19,0,9.84,0,0,1.09,108.19,0,0,7.65,0,0,2.19,0,0,40.44,0,0,20.76,0,1.09,0,0
108-118,0,0.77,8.43,4.6,2.3,11.49,0,0,16.09,0.77,0,0,0,0.77,0,0,1.53,0,4.6,0,0,0,123.32,0,0,5.36,0,0,0.77,0,0,42.89,0,0,19.92,0,0.77,0,0
120,0,0,1.96,3.92,0,17.64,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0,121.51,1.96,0,5.88,0,0,0,0,0,33.32,0,0,3.92,0,0,0,0
