stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,3,1,0,16,0,0,0,1,0,0,1,0,0,0,0,2,0,5,0,0,0,746,1,0,0,0,0,0,2,0,1,26,0,0,3,0,0
 24-34,0,4.1,9.85,1.64,0,119.84,0,0,0.82,3.28,0,0.82,1.64,1.64,1.64,1.64,0,0.82,0.82,27.91,1.64,0,9.85,614.82,1.64,0.82,2.46,0,0,9.03,0,0.82,1.64,59.92,0,0,4.93,0,0
 36-46,0,0,2.42,0.81,0,183.69,0,0,1.61,5.64,0.81,0,0.81,0,0.81,0,0,0.81,2.42,24.17,1.61,0,4.83,228,1.61,0.81,0,0,0,4.03,0,0,0,64.45,0,0,3.22,0,2.42
 48-58,0,0,0.57,0,0,142.88,0,0.57,1.72,8.61,0.57,0,0.57,1.15,0,0,0,0.57,0.57,21.8,2.3,0.57,1.72,111.89,0.57,0.57,0.57,0,0,3.44,0,0,0,29.84,0,0,1.72,0,3.44
 60-70,0,1.96,5.89,0,0,140.36,0.98,0.98,0.98,8.83,2.94,0,0.98,0.98,0,0.98,0,0.98,0,13.74,0.98,0,0.98,83.43,0,0,0,0,0.98,2.94,0,0,0,11.78,0,0,1.96,0,0
 72-82,0,7.85,4.91,0.98,0,117.8,0,0,1.96,2.94,6.87,0,0,0,0,0.98,0.98,0,0,17.67,4.91,0,0,53.01,0,0,0.98,0,0,6.87,0,0,0,7.85,0,0,3.93,0,0
 84-94,0,6.37,5.31,3.19,0,112.58,0,1.06,0,7.43,8.5,1.06,0,3.19,0,0,0,0,0,16.99,0,1.06,0,28.68,0,0,0,0,0,3.19,0,0,0,1.06,0,0,2.12,0,1.06
 96-106,0,6.56,5.46,1.09,1.09,88.52,0,1.09,0,2.19,9.84,0,1.09,3.28,1.09,0,0,1.09,1.09,10.93,4.37,2.19,0,16.39,0,0,1.09,0,0,6.56,0,0,0,1.09,0,0,3.28,0,2.19
108-118,0,3.06,3.83,6.13,0,105.7,0,1.53,2.3,10.72,7.66,0,1.53,1.53,0,0,0,1.53,0,25.28,0,1.53,2.3,47.49,0,0.77,0.77,0,0.77,9.96,0,0,0,0,0.77,0.77,0.77,0.77,0
120,0,1.96,0,5.88,1.96,107.79,0,1.96,0,3.92,15.68,0,0,1.96,0,0,1.96,1.96,0,7.84,1.96,0,0,35.28,0,0,1.96,0,0,1.96,0,0,0,3.92,0,3.92,0,0,0
