stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25,0,0,1,0,0,0,1,0,2,10,1,0
 24-34,0,0,0,0.82,0,6.57,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,2.46,19.7,0.82,0,0,0,0,0,0,0,0,7.39,0.82,0
 36-46,0,0,0,1.61,0.81,4.83,0,0,0.81,2.42,0,0.81,0.81,0,0,0,0.81,2.42,0,1.61,15.31,0,1.61,0,0,0,0.81,0,0.81,0,6.45,0,0
 48-58,0,0,0,1.72,0,8.03,0,0.57,0,1.72,0,0,0,0,0,0,0,2.3,0,1.72,12.62,0,0.57,0,0,0,0,0,0,0,2.87,0.57,0
 60-70,0,0,0,0,0,7.85,0.98,0.98,0,6.87,0,0,0,0,0,0,0,9.82,0,1.96,5.89,0,0,0.98,0,0,0.98,0,0,0,0.98,0,1.96
 72-82,0,0,0,0.98,0.98,5.89,0,0,0.98,2.94,0,0.98,0,0,0,0,0,10.8,0,0.98,4.91,0,0,1.96,0,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,1.06,3.19,10.62,0,0,0,6.37,0,2.12,0,0,0,0,0,7.43,1.06,1.06,5.31,0,0,1.06,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,3.28,1.09,9.84,0,0,1.09,5.46,1.09,1.09,0,0,1.09,1.09,0,20.76,1.09,1.09,6.56,0,0,2.19,0,0,1.09,0,0,0,1.09,1.09,0
108-118,0,0,0,2.3,0.77,11.49,0,0,2.3,3.83,0,0,0.77,0.77,0,0,0,16.09,0.77,4.6,8.43,2.3,0.77,1.53,0,0.77,1.53,0,0,0,1.53,1.53,0
120,0,0,0,0,1.96,5.88,0,0,1.96,7.84,0,0,0,0,0,0,0,3.92,1.96,0,11.76,0,0,0,0,0,0,0,0,0,0,1.96,0
