stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,9,2,0,0,0,0,0,0,0,0,0,2,1,0,0,12,1,0,0,0,0,92,0,4,13,0,0,0
 24-34,0,6.57,0,3.28,0,0,0,0,0,0.82,0,0,3.28,3.28,0,4.1,21.34,0.82,0,0,0,0,185.51,0.82,0,20.52,0,0,0
 36-46,0,6.45,0,2.42,0,0,4.03,0.81,0.81,0,0,0,8.86,3.22,0.81,2.42,24.17,0,0.81,0,0,0,276.34,0,0,16.92,0,0.81,0
 48-58,0,3.44,0,7.46,1.15,5.16,1.15,0,0,0,0,0.57,9.75,2.87,0.57,1.15,14.92,0.57,0.57,0,0,1.15,214.6,1.15,0,3.44,0,0.57,0
 60-70,0,0,0,4.91,0,2.94,1.96,0,0,0,0,0,8.83,0,0,1.96,8.83,0,0,0,0,0.98,131.52,0,0,0,0,0,0
 72-82,0,4.91,0.98,2.94,0,4.91,2.94,0,0,0,0,0,9.82,0,0.98,0,5.89,0.98,0,0.98,0.98,0,113.87,0,0,0.98,0,0,0
 84-94,0,6.37,0,3.19,2.12,8.5,0,0,0,2.12,0,0,1.06,0,1.06,1.06,4.25,0,0,0,0,0,310.11,2.12,0,0,0,2.12,0
 96-106,0,4.37,0,4.37,2.19,8.74,1.09,0,0,1.09,0,0,2.19,0,0,0,1.09,0,0,0,0,0,76.5,1.09,0,1.09,0,0,1.09
108-118,0,4.6,0,0,1.53,10.72,0,0,0,2.3,0.77,0,3.83,1.53,0.77,0.77,4.6,0,0,0,0,0,53.62,1.53,0,0,0,0.77,0
120,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,15.68,1.96,0,0,1.96,0,0
