stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,0,1,0,1,1,1,3,0,0,2,0,0
 24-34,0,0,0,0,3.28,0,0,0,0,0,0,0,0.82,0.82,0,1.64,1.64,0.82,0,0,4.93,0,0,0,3.28,0,0.82,5.75,0,0,4.93,0,0.82
 36-46,0,0,0,0,4.03,0,0.81,0,0,0,0.81,0,0.81,0,0,3.22,3.22,0,0,0,24.17,0,0,0,0.81,0,0,9.67,0,0,2.42,0,1.61
 48-58,0,0,0,0,1.15,0.57,0,0.57,0,0,0,0,0.57,0.57,1.15,0.57,0,0,0,0,20.08,0,0,0,1.15,0,0,9.75,0,0,1.72,0,1.15
 60-70,0,0,0.98,0,3.93,0,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0,0,0,37.3,0,0.98,0,1.96,0,0,9.82,0,0,3.93,0,0
 72-82,0,0,1.96,0,15.71,0.98,0,0,0.98,0,0,0,0,0,0,1.96,4.91,0,0,0,29.45,0.98,0.98,0,1.96,0,0,3.93,0,0,0.98,0,0
 84-94,0,0,6.37,1.06,5.31,0,0,1.06,1.06,1.06,0,0,0,1.06,0,1.06,0,0,0,1.06,11.68,0,0,0,3.19,0,0,2.12,0,0,7.43,0,0
 96-106,0,0,6.56,0,4.37,0,0,3.28,1.09,0,2.19,0,2.19,1.09,0,0,2.19,0,0,0,14.21,1.09,0,0,7.65,0,0,1.09,0,2.19,1.09,1.09,0
108-118,0,0,3.83,0,5.36,0.77,0,4.6,1.53,0,0.77,1.53,1.53,3.06,0,1.53,1.53,0,0.77,0,13.79,0.77,0,0,2.3,0,0,0,0.77,0,1.53,0.77,0
120,0,1.96,1.96,0,3.92,0,0,1.96,7.84,0,1.96,0,0,1.96,0,0,1.96,0,1.96,0,15.68,0,0,0,9.8,0,0,1.96,0,0,3.92,0,0
