stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,355.52,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,144.58,0,0,0,34.17,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,18.88,0,0,0,0,0,0,0,0,0,0,97.56,3.15,0,0,50.35,0,0,3.15,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,9,1,0,3,0,0,0,0,0,0,0,0,5,5,61,1,1,0,0,0,0,0,13,0,1,2,23,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,5.75,0,0,0,0,0,0,0,0,4.93,0.82,55.82,0,0,1.64,0,0,1.64,0,0,0.82,0,0,9.03,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,20.14,0,3.22,0,0,0,0,0,0,15.31,4.03,70.9,0,1.61,0.81,0,0,0,0,0,0,0.81,0,17.72,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,14.35,1.15,2.87,0,0,0.57,0,0,0,6.89,2.3,23.53,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,11.78,0.98,2.94,0,0,0,0,0,0.98,13.74,0.98,18.65,0.98,0.98,0,0,0,0.98,0,0,0,0,0,5.89,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,7.85,0,1.96,0,0,0,0.98,0,0.98,12.76,0,14.72,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,0,2.12,0,1.06,1.06,0,1.06,2.12,1.06,0,3.19,0,2.12,0,0,1.06,0,0,2.12,0,0,0,0,0,1.06,1.06,0,1.06,0,0
 96-106,0,0,1.09,0,1.09,0,0,4.37,0,1.09,0,0,0,0,0,0,6.56,2.19,6.56,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.3,0,0.77,0.77,0.77,1.53,0,0,0,0.77,0.77,0,4.6,1.53,0.77,0,0,0,0,0.77,3.06,0,0,0,0,0,0.77,0,0.77,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,3.92,1.96,13.72,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
