stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,2068.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,202.28,4211.06,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,55.17,0,49.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,86.75,162.98,0,205.04,0,2.63,872.73,0,0,0,0,0,155.09,0,0,0,0,0,0,0,0,0,0,5254.8,181.38,0,0,1779.64,0,10.51,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,207.7,0,226.58,0,18.88,657.72,0,0,0,0,0,88.12,0,0,0,0,0,0,0,0,0,3.15,4380.58,88.12,0,0,1592.37,0,6.29,12.59,6.29,201.41,0,9.44,6.29,0,0,0,0,0
 14-21,0,2,2,23,215,100,306,0,0,0,28,13,6,0,0,1,0,1,0,1,122,0,98,2280,21,3,37,73,0,0,2,261,12,1,231,711,0,0,5,0,0
 24-34,0.82,0,0.82,8.21,45.15,8.21,287.3,0,0.82,2.46,34.48,4.93,1.64,4.1,0,1.64,0,7.39,4.93,0,149.4,1.64,62.39,2253.25,3.28,32.83,23.8,0.82,0.82,0.82,0,0.82,2.46,0,26.27,482.66,0,0,34.48,0,0.82
 36-46,0,0,0,0,14.5,2.42,393.97,0,2.42,6.45,52.37,2.42,0,0.81,0.81,2.42,0,0.81,6.45,0.81,112.79,1.61,27.39,2260.71,1.61,16.11,12.09,0,0,2.42,0,0,0.81,0,0,439.09,0,0,18.53,0,0.81
 48-58,0,0,0,0,14.35,0.57,656.43,0,1.72,6.31,96.97,0.57,0,3.44,0,0,2.3,5.16,2.3,1.72,119.93,8.61,30.99,1977.33,0,14.92,5.74,0,1.15,2.3,0,0,0,0,0,356.91,0,0,19.51,0,1.72
 60-70,0,0,0,0,12.76,2.94,1062.01,0.98,1.96,4.91,95.21,0,0,0,0,0.98,0,0.98,0,0,94.23,8.83,13.74,1981.69,0,7.85,8.83,0,0,4.91,0,0.98,0.98,0.98,0,229.68,1.96,2.94,22.58,0.98,2.94
 72-82,0,0,0.98,0,11.78,6.87,781.4,0.98,2.94,8.83,97.18,0.98,0,1.96,2.94,0,2.94,0.98,0,0,106.02,1.96,18.65,1803.31,0,21.6,9.82,0,0.98,0,0,0,0,0,0,137.43,0.98,0.98,33.38,2.94,2.94
 84-94,0,0,2.12,1.06,21.24,9.56,497.03,1.06,0,9.56,56.29,1.06,0,1.06,1.06,2.12,1.06,1.06,2.12,0,72.22,6.37,21.24,809.27,1.06,9.56,13.81,0,2.12,3.19,0,0,1.06,1.06,0,63.72,7.43,0,24.43,2.12,1.06
 96-106,1.09,0,0,0,15.3,1.09,287.42,0,0,2.19,39.34,4.37,0,1.09,3.28,1.09,1.09,2.19,3.28,0,45.9,1.09,10.93,587.95,0,14.21,10.93,0,0,6.56,0,0,1.09,0,0,24.04,5.46,6.56,21.86,2.19,0
108-118,0,0,0,0,16.85,7.66,253.53,0,0.77,7.66,35.23,1.53,0,0,2.3,2.3,0.77,1.53,1.53,0,39.06,1.53,27.57,736.86,0,11.49,6.89,0,0,1.53,0,0,0,0,0,18.38,12.26,2.3,15.32,1.53,0
120,0,0,1.96,0,7.84,13.72,262.61,0,1.96,3.92,50.95,1.96,1.96,3.92,1.96,0,0,0,3.92,0,56.83,3.92,23.52,1040.65,3.92,9.8,7.84,0,0,1.96,0,0,0,0,0,25.48,9.8,0,21.56,0,0
