stage,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0,2,0,1,0,0,0,0,1,0,0,10,0,0,0,0,0,1,3,0,0
 24-34,0,1.64,16.42,1.64,0,0,0,0.82,5.75,0,2.46,64.85,0.82,0,1.64,1.64,0,0.82,12.31,0,0
 36-46,2.42,0,29.81,0,0,0,0,0,8.86,0,0,45.12,0,0.81,0,0,0.81,0,4.03,1.61,0
 48-58,0,0,26.97,0.57,0,0,0.57,0,2.87,0,0.57,12.05,0,0,0.57,0,0,0,0.57,0,0.57
 60-70,2.94,0,22.58,0,1.96,0.98,0,0,2.94,0,1.96,13.74,0,0,0,0,0,0,0,0,0
 72-82,1.96,0.98,3.93,1.96,0,0,0,0,5.89,0.98,0,7.85,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,6.37,1.06,0,0,0,0,6.37,2.12,1.06,4.25,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,2.19,1.09,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0,0,0.77,3.06,0,1.53,2.3,0,0,0,0,0,0,0,0,0
120,0,0,1.96,1.96,0,1.96,0,0,0,0,0,17.64,0,0,0,0,0,0,0,1.96,0
