stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0
 14-21,0,0,10,2,6,0,6,0,0,0,0,0,3,2,78,0,1,0,2,0,4,17,9,17,1,0,0
 24-34,0,0,4.1,0,3.28,0,0,0,0,0.82,0,0,3.28,0,71.41,0,0,0,0,0,4.93,0,0,18.06,1.64,0,0.82
 36-46,0,0,0.81,0,7.25,0,4.83,0.81,0,0,0,0,4.03,0.81,51.56,0.81,0,0,0,0,12.89,0,0.81,13.7,0,0,0
 48-58,0,0,0,0,13.2,0,4.02,0,0,0,0.57,0.57,2.87,1.72,18.94,0,0.57,0,0,0,5.74,0,0,6.31,0,0,0
 60-70,0,0,1.96,0,14.72,0,0.98,0,0,0,0,0,0.98,0,14.72,0,0,0.98,0,0.98,2.94,0,0,0.98,0,0,0
 72-82,0,0,0,0,10.8,0,5.89,0,0.98,1.96,0,0,1.96,0,20.61,0,0.98,0,0,0,4.91,0,0,0.98,0,0,0
 84-94,0,0,3.19,0,6.37,0,1.06,0,0,0,0,0,1.06,0,7.43,0,0,0,0,0,13.81,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,1.09,1.09,0,0,0,1.09,0,1.09,0,2.19,0,1.09,0,0,0,12.02,0,0,0,0,1.09,0
108-118,0,0.77,2.3,0,5.36,0,0,0,0.77,0,0,0,0,0,5.36,0,0,0.77,0,0,13.02,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,3.92,0,0,1.96,0,11.76,1.96,0,0,0,0,0,0,0,0,0,0,0
