stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,17,1,0,0,0,0,2,2,0,4,6,0,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,15.6,0,0.82,0,4.1,0,0.82,0.82,0,0,0,0.82,0,0,11.49,0,0,1.64,85.37,4.1,3.28,0.82,0,0,2.46,0,0,0,16.42,0,0,4.1,0,0.82
 36-46,0,0,0,0,2.42,0,0,28.2,0,0.81,0,3.22,0,0,0,0,0,0,0,0,0,11.28,0,0.81,2.42,84.6,0.81,0,0.81,0,0,4.03,0,0.81,0,14.5,0,0,4.83,0,0
 48-58,0,0,0,0,4.02,0,0,40.17,0,0,0.57,3.44,0,0,0.57,0,0.57,0,0,0,0,19.51,0.57,0.57,2.3,59.68,0,0,1.15,0,0,4.02,0,0,0,22.38,0,0,3.44,0,0
 60-70,0,0,0.98,0,5.89,0,0,61.84,0.98,0,1.96,8.83,0,0,0,0.98,0,0,0.98,0,0,19.63,1.96,0.98,0.98,91.28,0.98,4.91,0.98,0,0,3.93,0,0.98,0,13.74,0,0,2.94,0,0
 72-82,0,0,0.98,0,4.91,0.98,0,43.19,0,0,0.98,7.85,0.98,0,0,0,0.98,0.98,0,0,0,31.41,0,1.96,1.96,76.57,0.98,0,0,0,0,2.94,0,0,0,4.91,0,0,5.89,0,0
 84-94,0,0,0,0,2.12,0,0,15.93,0,1.06,0,5.31,3.19,0,0,1.06,1.06,0,0,0,1.06,15.93,0,0,0,35.05,0,0,1.06,0,0,6.37,0,2.12,0,7.43,2.12,2.12,4.25,0,0
 96-106,0,0,1.09,0,6.56,0,1.09,22.95,1.09,0,0,6.56,3.28,1.09,0,2.19,1.09,0,2.19,0,0,16.39,0,0,1.09,41.53,0,2.19,3.28,0,0,17.49,0,1.09,0,4.37,1.09,1.09,4.37,1.09,0
108-118,0,0,0,0,7.66,1.53,2.3,19.92,0,2.3,1.53,7.66,5.36,0,0,2.3,3.06,0,2.3,1.53,0,12.26,0.77,0,2.3,24.51,0.77,0.77,2.3,0,0.77,6.89,0,0,0,3.06,0,0,3.06,0,0
120,0,0,0,1.96,5.88,0,0,25.48,0,0,0,15.68,1.96,0,0,1.96,0,1.96,1.96,0,0,13.72,1.96,1.96,0,58.79,1.96,0,3.92,0,0,15.68,0,0,0,1.96,3.92,0,9.8,0,0
