stage,blastomeres,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,neural,olfactory,otic,periderm,somites,spinal_cord,taste,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,6.57,0,0,0,0.82,2.46,0,1.64
 36-46,0,1.61,0.81,0.81,0,0,0,0,0,4.03,0,0,0,0,4.83,0,0
 48-58,0,0,1.72,0.57,0,0,0,0,0.57,5.16,0,0,0.57,0,1.15,0,0.57
 60-70,0,0,1.96,0,0,0,0,0,0.98,12.76,0,0,0,0,0.98,0,0
 72-82,0,0,2.94,0.98,0,0,0,0,0.98,11.78,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,1.06,0,0,0,1.06,0,0
 96-106,0,2.19,0,1.09,0,0,0,0,1.09,1.09,1.09,0,1.09,0,1.09,0,1.09
108-118,0,0,2.3,2.3,0,0,0.77,0,0.77,3.83,0,0,0,0,0,0.77,0
120,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
