stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,2,0,0,2,20,1,1,0,1,7,3,0,3,12,0,0,1,0
 24-34,0,0,0,0,4.1,0.82,2.46,0,0,1.64,0,1.64,0,0,0,9.85,0,0,4.93,27.09,0,0.82,0,0,2.46,0,0,0,4.1,0,0,3.28,0
 36-46,0,0,0,0,0.81,0,4.83,0,0.81,0.81,0,0.81,4.03,0,0,8.06,0,0.81,4.03,20.14,0.81,0,0,0,4.03,0,0,0,2.42,0,0,4.83,0
 48-58,0,0,0,0,1.15,0,2.87,0.57,1.15,2.87,0,0,2.3,0,0.57,13.77,0,0.57,5.16,23.53,1.15,0,0,0,2.3,0,0,0,1.72,0,0,5.16,0
 60-70,0,0,0,0,0.98,0,3.93,0,1.96,2.94,0,0,7.85,0,0,21.59,0,1.96,3.93,37.3,0,0,0,0,4.91,0,0.98,0,1.96,0,0,1.96,0
 72-82,0,0,0,0,1.96,0,14.72,0,0.98,5.89,0.98,2.94,3.93,0,0,23.56,0.98,0,1.96,48.1,0,0,0,0,2.94,0,0,0,2.94,0,0,6.87,0
 84-94,0,0,2.12,0,3.19,0,9.56,0,0,1.06,1.06,0,15.93,1.06,0,18.05,0,2.12,2.12,12.74,1.06,0,1.06,0,18.05,0,0,0,2.12,0,0,8.5,1.06
 96-106,0,0,1.09,0,9.84,0,4.37,3.28,0,3.28,0,0,24.04,0,0,26.23,0,1.09,3.28,14.21,0,0,0,0,9.84,0,0,0,0,0,0,6.56,1.09
108-118,0,0,0,0,9.19,0,3.06,0.77,0,1.53,0,0.77,20.68,0,0.77,13.79,0,0.77,1.53,19.15,0,0,0.77,0,5.36,0,0,0,0,0.77,0.77,9.19,0.77
120,0,0,0,0,5.88,3.92,1.96,1.96,0,0,0,1.96,17.64,0,0,5.88,1.96,0,0,15.68,0,1.96,0,0,15.68,0,0,0,0,0,0,9.8,0
