stage,epidermis,eye,glial,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 24-34,0.82,0,0,0,0.82,0,9.85,0,0,3.28,0,0,0
 36-46,0,0.81,0,0,0,0,17.72,0,0,5.64,0,0,0
 48-58,0,5.16,1.15,0,1.15,0,16.07,0,0,2.87,0,0,0
 60-70,0,5.89,0,0,0.98,0,34.35,0,0,1.96,0,0,0
 72-82,0,23.56,0,0,0.98,0,30.43,0,0,2.94,0,0,0
 84-94,0,11.68,1.06,1.06,0,0,11.68,0,0,1.06,0,0,1.06
 96-106,0,8.74,0,0,0,1.09,13.11,0,0,0,0,1.09,0
108-118,0,10.72,0,0,0.77,0,13.02,0,1.53,0,0,0,0
120,0,9.8,3.92,0,0,0,19.6,0,0,0,1.96,0,0
