stage,blastomeres,epidermis,eye,glial,gut,immune,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,pronephros,spinal_cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,3.15,0,3.15,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0,1.64,0,0,0,0,0,0.82,0,0,0,0,0.82,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,3.22,0.81,0,0,0,0,0
 48-58,0,0,1.15,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0.98,1.96,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,1.96,4.91,0.98,0,0,0,0,1.96,0,0,0,0,0,0
 84-94,0,2.12,1.06,1.06,1.06,0,0,0,0,2.12,1.06,0,0,2.12,0,1.06
 96-106,0,6.56,2.19,2.19,2.19,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,8.43,0.77,2.3,2.3,0.77,0.77,0.77,0,0.77,0,0.77,0,0.77,0.77,0
120,0,1.96,0,9.8,0,0,0,0,1.96,1.96,0,0,0,0,0,0
