stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,5,0,0,0
 24-34,0,0.82,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,36.94,0,0.82,0,0,0,0,22.98,0.82,0,0
 36-46,0,0,0.81,2.42,0,0,0,0.81,0,0,0,0,0,0,0,90.23,0,0.81,0.81,0,0,0,14.5,0,0,0
 48-58,0,1.15,0.57,3.44,0.57,0,0.57,0.57,0,0,0,0,3.44,0,0.57,128.53,0,0,0,0,0,0.57,5.74,0,0,0
 60-70,0,0,0.98,52.02,0,0.98,0,1.96,0,0,0,0,2.94,0,0,296.42,0,0,0,0,0,0,10.8,0.98,0,0
 72-82,0,0,0.98,125.65,0,0,0,10.8,0.98,0,0,0,6.87,0,0,462.36,0,3.93,0.98,0,0,0.98,25.52,0,0,0
 84-94,0,3.19,0,70.09,0,0,1.06,11.68,0,0,0,0,7.43,1.06,2.12,237.9,0,2.12,0,0,0,1.06,7.43,0,1.06,0
 96-106,0,3.28,1.09,33.88,0,0,0,8.74,0,0,1.09,0,0,1.09,0,217.48,1.09,0,6.56,0,1.09,3.28,4.37,0,0,1.09
108-118,0,4.6,0,43.66,0.77,0,0,8.43,0,0,0,0.77,3.06,0,0.77,282.64,0,1.53,4.6,0,0,0,4.6,0,0,0
120,0,9.8,0,35.28,1.96,0,1.96,3.92,0,1.96,0,0,1.96,0,0,197.94,0,3.92,5.88,0,0,0,7.84,0,0,0
