stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,10.51,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,3.15,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,185.67,0,0,0,34.62,0,0,6.29,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,3,6,95,7,4,1,0,4,2,2,0,0,18,0,0,2,2,18,1,0,10,290,4,2,5,5,0,2,1,7,114,0,13,144,0,0,0,0,0
 24-34,0,0,4.1,3.28,9.85,0,9.03,0,0,13.95,0,0,1.64,0,25.45,0,0.82,0,1.64,7.39,0.82,0,1.64,212.6,0,5.75,1.64,0,0,1.64,0,0,3.28,0.82,0.82,89.47,0,0,0.82,0,0.82
 36-46,0,0,0,0,2.42,0,42.7,0,0,27.39,0,0,0,0,7.25,0.81,0.81,0,0,7.25,2.42,0,1.61,525.3,0,17.72,1.61,0,0,1.61,0,0,0.81,0,0,91.04,0,0,0,0,0
 48-58,0,0,0.57,0,2.3,0,220.34,0.57,0,48.2,0,0,0,0,3.44,0,0.57,0,0.57,8.03,8.61,0,0.57,842.92,0.57,9.75,2.87,0,0,2.87,0,0,0.57,0,0,131.4,0,0,0,0,0
 60-70,0,0,1.96,0,11.78,0,451.5,1.96,1.96,49.08,2.94,0,0,0,0.98,0,0,0,0,22.58,3.93,0.98,0.98,1073.79,0.98,4.91,3.93,0,0,4.91,0,0,0,0.98,0,114.84,0,0,0.98,0.98,0
 72-82,0,0,11.78,0,14.72,3.93,473.16,0,2.94,74.61,21.6,0,0,1.96,3.93,3.93,0.98,0,0,43.19,18.65,0,0,1014.06,0,11.78,6.87,0,0,3.93,0,0,0,0,0,78.53,2.94,0,1.96,0,0
 84-94,0,0,9.56,0,12.74,0,341.98,1.06,2.12,50.98,10.62,0,0,1.06,9.56,1.06,1.06,0,0,29.74,12.74,1.06,0,364.28,2.12,8.5,11.68,0,0,11.68,0,0,1.06,0,0,42.48,6.37,1.06,1.06,5.31,0
 96-106,0,0,6.56,0,18.58,1.09,249.17,2.19,2.19,46.99,18.58,0,1.09,2.19,5.46,1.09,4.37,3.28,0,18.58,10.93,0,0,307.09,1.09,6.56,15.3,0,1.09,25.14,0,0,0,0,0,26.23,3.28,0,2.19,1.09,0
108-118,0,0,1.53,0,14.55,1.53,152.43,1.53,0.77,48.26,17.62,0,0,2.3,9.96,1.53,3.06,0.77,0,13.02,4.6,1.53,0.77,389.88,0,6.89,5.36,0,0,13.02,0,0,2.3,0,0,19.92,2.3,0,0,0,0.77
120,0,0,0,0,11.76,0,103.87,1.96,0,25.48,17.64,0,1.96,3.92,1.96,0,3.92,3.92,0,9.8,1.96,0,0,270.45,1.96,0,1.96,0,0,13.72,0,0,0,0,0,19.6,1.96,0,0,0,0
