stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,13.14,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,115.66,5.26,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,47.2,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.88,9.44,0,0,91.26,0,0,3.15,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,3,19,16,0,7,0,0,0,6,3,0,4,0,0,1,0,0,0,85,0,0,56,181,3,0,5,3,0,2,0,40,1,0,15,91,0,10,0,0
 24-34,0,0,0,0,17.24,4.93,0,20.52,0,0,9.03,22.98,0.82,0,9.03,0,0,0.82,0,0,1.64,265.14,0,0.82,114.1,285.66,2.46,0,6.57,0,0,0.82,0,0,1.64,0.82,9.85,105.89,0,71.41,0,0.82
 36-46,0,0,0,0,2.42,0.81,0,10.47,0,0.81,25.78,38.67,0,0.81,16.92,0,0,0.81,0,0,0,447.15,0,11.28,173.22,220.75,0,0,4.83,0,0.81,0.81,0,0.81,0,0,0,83.79,0,45.92,0,0
 48-58,0,0,0,0,4.59,0.57,0,17.79,0,1.72,37.87,59.68,0,0,13.77,0,0,1.72,0,0.57,0,514.13,0,14.35,92.38,121.65,0,0,1.72,0,3.44,0,0,0,0,0,0,53.94,2.87,38.44,0.57,1.72
 60-70,0,0,0,0,5.89,0.98,0,11.78,0,1.96,59.87,125.63,0,0,4.91,1.96,0,0,0,0.98,0.98,746.94,0,24.54,93.24,98.15,0,0,3.93,0,11.78,0,0,0,0,0.98,0,30.43,13.74,25.52,10.8,0.98
 72-82,0,0,0.98,0,15.71,0.98,0,65.77,0,0.98,86.39,297.44,0,0,23.56,1.96,0,0,1.96,0.98,0,1124.98,0.98,44.17,103.07,150.19,0,0,5.89,0,19.63,0,0,0,0,0,0,23.56,32.39,51.05,30.43,0
 84-94,0,0,0,0,9.56,1.06,0,67.97,0,1.06,42.48,156.12,0,0,13.81,1.06,1.06,2.12,2.12,0,0,662.71,0,39.3,60.54,96.65,0,1.06,8.5,0,4.25,3.19,0,0,3.19,0,0,24.43,14.87,41.42,22.3,0
 96-106,0,0,0,0,20.76,3.28,1.09,55.74,1.09,3.28,55.74,234.96,0,0,25.14,2.19,0,3.28,1.09,1.09,1.09,871,0,49.18,76.5,167.21,2.19,4.37,15.3,0,26.23,5.46,0,0,0,0,0,10.93,20.76,54.64,30.6,2.19
108-118,0,0,0,0,20.68,2.3,0,33.7,1.53,0.77,55.92,202.98,1.53,0,11.49,1.53,0.77,3.83,0,0.77,1.53,884.69,0,45.96,67.4,137.87,1.53,0,14.55,0,25.28,5.36,0,0,0.77,0,0,13.79,23.74,41.36,16.09,1.53
120,0,0,0,0,17.64,1.96,0,39.2,0,3.92,23.52,188.14,0,0,9.8,3.92,0,1.96,5.88,1.96,0,617.33,0,50.95,39.2,113.67,1.96,0,13.72,0,19.6,0,0,0,0,0,0,7.84,21.56,19.6,9.8,1.96
