stage,blastomeres,eye,glial,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord,taste
  5-6,12.26,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,1.64,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0.57,0.57,0,0.57,0,0.57,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,1.96,0,0,0,0.98,0
 72-82,0,1.96,0,0,1.96,0,3.93,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0.77,0,0,0.77,0,0.77,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,0
