stage,endoderm,erythrocytes,eye,fin_epithelia,fin_mesenchyme,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,0,1.64,0.82,3.28,0,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,1.61,3.22,1.61,0,0.81,0,0.81,0
 48-58,0,0,0,0,0,6.31,0,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,14.72,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,23.56,0,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,0,14.87,1.06,0,2.12,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,4.37,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,3.83,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,11.76,0,0,0,1.96,1.96,0,0,0,0
