stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,1,0,0,0,1,0,1,0,0,0,0,2,0,2,19,3,0,1,0,0,0,4,0,0,4,15,0,0,0
 24-34,0.82,0,2.46,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0.82,29.55,0,1.64,0,0,0,0,0,0,0,0.82,6.57,0,0,0
 36-46,0,0,6.45,1.61,0,0,1.61,0,0,0,0,0,0,1.61,0,0,24.98,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0
 48-58,0.57,0,8.03,0,0,0,0,0,0,0,0,0,0,0.57,0,1.15,18.36,0,0,0,0,0,0,0,0,0,0,4.02,0,0.57,0
 60-70,0.98,0,11.78,0,0,0,1.96,0,0,0,0,0,0,2.94,0,0,27.48,0,0,0,0,0,0.98,0,0,0,0,6.87,0,0,0
 72-82,0,0.98,6.87,0,0,0,4.91,0,0,0,0,0,0,4.91,0,0,25.52,0,0,0.98,0,0,1.96,0,0,0,0,1.96,0.98,0.98,0.98
 84-94,2.12,2.12,10.62,0,0,0,1.06,1.06,0,0,1.06,1.06,0,4.25,0,0,22.3,0,0,1.06,0,0,4.25,0,0,0,0,4.25,0,1.06,0
 96-106,2.19,1.09,3.28,0,0,1.09,2.19,0,0,0,1.09,0,1.09,3.28,0,0,10.93,0,0,1.09,0,0,2.19,0,1.09,0,0,0,0,0,1.09
108-118,0.77,0.77,4.6,0,1.53,0,0.77,0,0,0.77,0.77,0,0,3.83,0.77,0,13.02,0.77,0.77,0,0,0.77,0,0,1.53,0.77,0,0.77,0,0,0
120,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,7.84,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
