stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,7.25,0,0,0,0.81,0,0.81,0,0,1.61
 48-58,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0.57,0,0,0,2.3,0,0,0.57,0.57,0,0,0,0,0.57
 60-70,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,5.89,0,0,0,0,7.85,0,0,0,0
 72-82,0,0,13.74,6.87,2.94,0.98,0.98,0.98,0.98,0,0,0.98,0.98,3.93,0.98,0,0,13.74,1.96,0,0.98,0.98,42.21,0,0.98,0,0
 84-94,0,0,7.43,7.43,2.12,0,0,0,3.19,0,0,1.06,0,2.12,0,0,1.06,12.74,0,0,2.12,1.06,164.62,0,0,1.06,0
 96-106,0,0,36.06,1.09,6.56,0,0,1.09,14.21,0,0,1.09,0,3.28,0,0,0,10.93,1.09,0,3.28,1.09,230.59,0,0,0,0
108-118,0,0,27.57,1.53,5.36,1.53,0,2.3,5.36,0,0.77,2.3,0,4.6,1.53,0,0,3.83,0.77,0.77,2.3,0,224.43,0,0,0,0.77
120,0,0,21.56,9.8,0,3.92,3.92,0,3.92,0,1.96,1.96,0,3.92,0,1.96,0,5.88,0,0,1.96,0,78.39,0,0,0,0
