stage,epidermis,eye,glial,lateral.line,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,5.75,0,0,3.28,0,0
 36-46,0.81,0,0.81,0,0.81,0.81,5.64,0,0,3.22,0,0
 48-58,0,1.15,0.57,0,0,0,5.74,0,0,1.15,0.57,0
 60-70,0,2.94,0,0,1.96,0,5.89,0,0,0.98,0,0
 72-82,0,4.91,0.98,0.98,0,0,8.83,0.98,0,1.96,0,0
 84-94,0,2.12,0,0,0,0,1.06,1.06,1.06,1.06,1.06,0
 96-106,0,5.46,0,0,1.09,0,1.09,0,1.09,0,0,0
108-118,0,3.83,0.77,0,0.77,0,8.43,0.77,0,0.77,0,0.77
120,0,1.96,0,0,0,0,3.92,0,0,0,0,0
