stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,0,0,6,1
 24-34,0,0,0,0,2.46,0,0,2.46,0,0,0,0,0,0,0,0,0.82,185.51,0,0,0.82,0,0,68.95,0.82
 36-46,0,0,0,0,0.81,0,0,5.64,0,0,0,0,0,0,1.61,0,0,175.64,0,0,0,0,0,127.3,0
 48-58,0,0,0,0,1.15,0,0,4.02,0,0,0,0,0,0,0,0.57,0,28.12,0,0,0.57,0,0,39.02,0
 60-70,0,0,0.98,0,10.8,0,0,1.96,0,0,0,0,0,0,0.98,0,0,13.74,0,0,0.98,0,0,2.94,0
 72-82,0,0,1.96,0,52.03,0.98,0,4.91,0,0,0,0,0,0,4.91,0,0,16.69,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,47.79,0,0,1.06,0,0,0,1.06,0,0,5.31,0,0,10.62,0,0,0,0,1.06,2.12,0
 96-106,0,0,1.09,0,98.36,1.09,0,4.37,0,0,1.09,0,1.09,1.09,5.46,0,0,8.74,0,1.09,0,0,1.09,0,0
108-118,0,0,0.77,1.53,89.62,1.53,0.77,0.77,0,0,0,0,0,0.77,6.13,0,0.77,9.19,0.77,0,0.77,0,0,2.3,0
120,0,0,5.88,0,58.79,1.96,0,3.92,0,1.96,0,0,0,0,0,0,1.96,9.8,1.96,0,0,0,0,0,0
