stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,20,0,0,0,2,1,5,0,0,4,5,0,0,0
 24-34,0,0,0,3.28,0,0,10.67,0.82,0.82,0.82,1.64,0,0,0.82,0.82,0,0,0,15.6,1.64,0,4.93,82.09,0.82,0,0,0,16.42,0,1.64,0,1.64,23.8,0,3.28,0
 36-46,0,0.81,0,0.81,0,0,7.25,0.81,0,0,0,0,0,0,0,0,0.81,0,5.64,0.81,0,3.22,19.34,0,0,0,0,6.45,0,0,0.81,0,7.25,0,0,0
 48-58,0,0,0,1.15,0,0,28.69,0.57,0,1.72,0.57,0,0,2.3,0,0.57,0,0,13.2,0,0.57,2.87,23.53,0,0.57,1.15,0,3.44,0,0.57,0,0,7.46,0,0.57,0
 60-70,0,0,0,0,0,0,8.83,0,0,0.98,0,0,0.98,1.96,0,0.98,0,0,6.87,0,0,0,8.83,0,0,0,0,2.94,0,0,0,0,0.98,0,0.98,0.98
 72-82,0,0,0,0.98,0,0,13.74,0,0,0.98,0,0,0,0.98,0,0.98,0,0,9.82,0,0,1.96,23.56,0,1.96,0,0,1.96,0,0,0.98,0,3.93,0.98,1.96,0
 84-94,0,0,0,0,0,0,10.62,0,0,1.06,0,1.06,0,1.06,0,0,0,1.06,6.37,1.06,1.06,0,7.43,0,1.06,0,0,8.5,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,2.19,2.19,0,8.74,0,1.09,2.19,0,0,0,4.37,0,0,1.09,0,8.74,0,0,1.09,9.84,0,0,0,0,8.74,0,0,0,0,3.28,1.09,2.19,2.19
108-118,0,0,0,0.77,0,0.77,4.6,0,0,1.53,0,0,0,1.53,0.77,0,0,0,6.13,0,0,0,8.43,0,1.53,0,0,3.83,0,0,0,0,0,0,0,0
120,0,0,0,5.88,0,0,15.68,3.92,0,1.96,0,0,0,0,1.96,0,0,0,9.8,0,0,1.96,15.68,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0
