stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,0.82,0,0,1.64,0,0,1.64,0,4.93,0,0,3.28,0,0,7.39,0.82,0,0,0,0,0,0,0.82,0,0,0.82,0,0
 36-46,0,0.81,0,2.42,0,1.61,0,0,2.42,0,0,0.81,0,0.81,0,0.81,2.42,0,0.81,6.45,0.81,0,0,0,0,0,0,1.61,0,0.81,0,0,0
 48-58,0,0.57,0,17.21,0,0.57,0,0,1.72,0,0,0.57,0,0,0,12.62,0.57,2.3,1.15,13.77,1.72,0,0.57,0,0.57,0,0,2.3,0,0.57,0,0,0
 60-70,0,0.98,0,14.72,0,1.96,0,0,4.91,0.98,0,0,0.98,0,0,31.41,1.96,2.94,0,6.87,0.98,0,0.98,0,1.96,0,0,3.93,0,1.96,0,0,0
 72-82,0,0.98,0,20.61,0.98,6.87,0,0,11.78,0.98,2.94,0,0,0,0,85.4,1.96,12.76,0.98,26.5,0.98,0.98,1.96,0,0,0,0,1.96,4.91,4.91,0,6.87,0
 84-94,0,2.12,0,19.12,0,4.25,0,0,12.74,1.06,2.12,0,1.06,0,0,59.47,2.12,1.06,1.06,8.5,5.31,0,10.62,0,0,4.25,0,0,3.19,3.19,0,8.5,0
 96-106,0,2.19,0,32.79,0,6.56,1.09,1.09,4.37,1.09,10.93,0,0,1.09,1.09,71.04,2.19,5.46,2.19,13.11,2.19,0,4.37,0,1.09,0,1.09,4.37,10.93,3.28,1.09,4.37,0
108-118,0,0,0,20.68,0,3.06,0,0,8.43,1.53,15.32,0,0,0.77,0,51.32,0.77,1.53,0.77,8.43,0.77,0,4.6,0,0,0,0,0,15.32,2.3,0,6.13,0.77
120,0,1.96,0,29.4,0,3.92,0,0,0,0,3.92,0,0,0,0,37.24,0,0,1.96,7.84,0,0,0,0,1.96,0,0,0,1.96,1.96,0,7.84,0
