stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,21.03,0,0,28.92,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,12.59,9.44,0,0,88.12,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,0,14,0,0,5,2,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,2.46,0,0,0.82,0,0.82,0,0,0.82,5.75,0,0,0,0,0,0,6.57,4.1,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0,0,4.03,0.81,0,0,0,0,0,0,0,4.03,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0.57,0,1.72,0.57,0.57,0,0,1.15,0,0,2.87,1.15,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,5.89,0.98,0,2.94,2.94,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,1.96,0,0,1.96,2.94,0,0,0,0,9.82,0,0,0.98,5.89,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,6.37,0,0,1.06,0,8.5,0,1.06,1.06,8.5,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,1.09,1.09,0,2.19,2.19,0,0,0,0,13.11,1.09,0,2.19,15.3,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,3.06,0.77,0,0,0,0.77,3.06,0.77,0,0.77,0.77,11.49,0,0.77,0.77,24.51,0,0.77,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,0,0,0,0,3.92,3.92,0,0,0,0,9.8,0,0,5.88,56.83,0,0,0,0,0,0,0,0,1.96,0,1.96
