stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,10.51,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.24,5.26,0,0,49.95,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,44.06,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,16,2,0,6,0,0,0,0,0,0,0,0,0,0,1,8,0,6,96,2,0,0,2,0,2,18,0,13,38,0,0,0
 24-34,0,0,0,0,1.64,0,0,12.31,0.82,0.82,0.82,0.82,0,0,0,0,1.64,0,0,8.21,0,2.46,74.7,0,1.64,0.82,0,0,2.46,0,0,1.64,20.52,0,3.28,0
 36-46,0,0,0,0,0,0,0,12.09,0,0.81,1.61,0,0,0,0.81,0,0,0,0,14.5,0,5.64,45.12,0,0,0,0,0,2.42,0,0,0,8.06,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,9.75,0,0,4.02,0,0,0,0,0,0,0,0,14.35,0,2.3,33.85,0,0,0.57,0,0,1.15,0,0,0,4.02,0,0.57,0
 60-70,0,0,0,0,1.96,0.98,0,8.83,0.98,0,2.94,0,0,0,0,0,0,0,0,4.91,0,0.98,15.7,0,0.98,0,0,0,0.98,0,0.98,0,2.94,0,0,0
 72-82,0,0,0,0,1.96,0.98,0,15.71,0,0,7.85,0,0,0.98,0,0.98,0,0,0,20.61,0.98,0,24.54,0,0,0,0,0.98,0.98,0,0,0,2.94,0.98,1.96,0
 84-94,0,0,0,0,1.06,0,0,4.25,0,1.06,5.31,0,0,1.06,1.06,0,1.06,1.06,0,15.93,0,2.12,9.56,1.06,0,2.12,0,0,4.25,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,4.37,0,0,3.28,0,0,5.46,1.09,1.09,1.09,0,0,1.09,0,0,5.46,0,1.09,5.46,0,2.19,0,0,0,2.19,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0,0.77,0,0.77,5.36,0.77,0,6.89,0,0,0,0.77,0,0,0,0,11.49,0.77,0.77,13.02,0,0,0,0,0,3.83,0,0,0,0,0.77,0,0.77
120,0,0,0,0,3.92,0,0,9.8,0,0,5.88,0,0,0,0,0,0,0,0,1.96,0,0,11.76,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0
