stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0.82,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0.57,0,1.15,0,0.57,0,0.57,0,2.3,0,0,0,0
 60-70,0,0,0,0,0,14.72,0,0.98,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,35.34,0,0,0,0.98,0,0,0,0
 84-94,0,1.06,0,2.12,0,27.61,1.06,4.25,0,0,0,0,0,0
 96-106,0,0,0,5.46,2.19,31.69,5.46,0,0,4.37,0,0,0,0
108-118,0,0,0.77,1.53,0,45.96,1.53,2.3,0,3.83,0,0,0,0.77
120,0,0,0,3.92,0,43.12,3.92,0,0,3.92,1.96,1.96,0,0
