stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,23,0,0,0,0,0,0,5,12,0,0,12,0,3,5,7,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,8.21,0.82,0,1.64,0,0.82,0,7.39,16.42,0,0,8.21,0,4.1,4.93,2.46,0,0,0,0,3.28,0,0,11.49,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,4.03,8.06,0,0,6.45,0.81,0,5.64,0,0,0,0,0,0,0,0,6.45,0,0
 48-58,0,0,0,0.57,0.57,1.15,0,1.72,1.15,0,0,4.02,6.31,0.57,0,3.44,0.57,0.57,2.3,0,0,0,0,0.57,1.72,0,0,12.62,0,1.15
 60-70,0,0,0,0,0,0.98,0,0,2.94,0,0,0.98,18.65,0,0,1.96,0,0,4.91,0,0,0.98,0,0,0.98,0,0,15.7,0,0
 72-82,0,0,0,0,4.91,0.98,0,0,0.98,0,0,1.96,59.88,0,0,7.85,3.93,0.98,4.91,0,0,0.98,0,0,0,0,0.98,19.63,0,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,0,0,1.06,1.06,48.85,1.06,0,4.25,1.06,0,0,0,0,2.12,0,0,1.06,0,1.06,22.3,0,0
 96-106,0,0,0,0,1.09,1.09,1.09,0,2.19,0,0,4.37,66.66,0,1.09,1.09,1.09,0,2.19,0,0,2.19,0,0,1.09,1.09,0,33.88,1.09,0
108-118,0,0,0,0.77,2.3,0,0,0,0.77,0.77,0,1.53,77.36,0.77,0,2.3,1.53,0,3.83,0,0,0.77,0,0,0,0,0,23.74,0,0
120,0,1.96,0,0,1.96,3.92,0,1.96,1.96,5.88,0,0,82.31,0,0,3.92,1.96,0,0,0,0,0,0,0,0,0,1.96,23.52,0,0
