stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,5.26,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,30.37,0,0.82,0,0,1.64,18.88,0,0,0,0,0,0,4.1,0,0.82,5.75,0,0,0,0,0
 36-46,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,14.5,0.81,0,0,0,0,25.78,0,0,0,0,0,0.81,1.61,0,0,6.45,0,0,0.81,0,0
 48-58,0,0,0.57,0.57,0.57,0,8.03,0,0,1.72,0,0.57,0,0,0.57,0,0,30.41,0,3.44,0,0.57,0.57,14.92,0,0,0,0,0,1.15,8.03,0,0,4.02,0,0,1.15,0,0
 60-70,0,0,0,0,0,0.98,12.76,0,0,0,0,0,0,0,0,0,0,53,0,2.94,0,0,0,19.63,0,0.98,0.98,0,0,0.98,10.8,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,1.96,0,3.93,14.72,0,0.98,7.85,1.96,0,0.98,0,0.98,0.98,0,160.99,0,9.82,0,0.98,2.94,49.08,0.98,3.93,0,0,0,4.91,44.17,0,0,2.94,3.93,0.98,0.98,0,1.96
 84-94,0,0,0,2.12,1.06,10.62,9.56,0,1.06,6.37,12.74,0,0,0,2.12,1.06,0,498.1,1.06,8.5,0,0,0,32.92,0,1.06,0,0,0,11.68,101.96,0,0,4.25,2.12,0,0,0,0
 96-106,0,0,0,9.84,10.93,8.74,49.18,4.37,2.19,7.65,9.84,0,0,8.74,5.46,1.09,2.19,772.64,0,26.23,5.46,1.09,2.19,191.25,0,2.19,0,0,0,24.04,106.01,1.09,0,0,1.09,1.09,8.74,2.19,4.37
108-118,0,0,0,20.68,3.83,13.79,31.4,3.06,1.53,12.26,8.43,0,0,3.83,0.77,2.3,0.77,1489.8,0.77,37.53,0,2.3,3.83,149.36,0,1.53,0.77,0,1.53,13.02,97.28,0.77,0,0.77,0.77,0,4.6,0,3.06
120,0,0,0,5.88,3.92,1.96,27.44,0,0,5.88,3.92,0,0,1.96,0,0,1.96,779.99,1.96,15.68,1.96,0,3.92,94.07,1.96,1.96,1.96,0,0,9.8,47.03,0,0,3.92,0,1.96,0,0,3.92
