stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,2,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,0,0,0.82,0,0.82,0,0,0,2.46,0,0,0.82,22.16,0,3.28,0,0,0,0,0,0.82,1.64,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,3.22,0,0,0,0,0,0,0,2.42,0,0,0,17.72,0,2.42,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0.57,0,5.74,0,0,2.3,0,0,0,0,0,0,0,1.15,0.57,0,0.57,18.94,0,0.57,0,0,0.57,0,0,0,6.31,0,0,0,0
 60-70,0,0,0.98,0,10.8,0,0,4.91,0,0,0,0,0,0,0,6.87,0,0,0,43.19,0,0.98,0,0,0,0,0,0,5.89,0,0,0,0
 72-82,0,0,0,0,13.74,0,0,12.76,0,0,0,0.98,0,0.98,0,11.78,0,0.98,0.98,61.84,0,8.83,0,0,0.98,0,0,0,6.87,0,0,0,0.98
 84-94,0,0,0,0,7.43,0,0,12.74,0,0,0,1.06,0,0,0,6.37,0,1.06,2.12,36.11,1.06,1.06,1.06,0,0,0,0,0,3.19,1.06,0,0,1.06
 96-106,0,0,2.19,0,12.02,1.09,0,6.56,1.09,0,0,0,0,1.09,0,13.11,0,1.09,1.09,38.25,0,7.65,0,0,1.09,0,0,0,1.09,0,0,1.09,1.09
108-118,0,0,2.3,0.77,10.72,0.77,0.77,14.55,0.77,0,0.77,0,0.77,0,0.77,15.32,0,0,0,45.19,0,3.06,3.06,0,0,0,0,0,1.53,0,0.77,0.77,0
120,0,1.96,0,1.96,1.96,0,1.96,5.88,0,0,0,0,0,0,0,3.92,0,0,0,35.28,0,1.96,0,0,0,0,1.96,0,1.96,0,3.92,0,1.96
