stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,28.92,2.63,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0.82,1.64,0.82,0,0,0,35.3,0,0,0,3.28,0,0,0,0,0.82,1.64,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,45.92,0,0,0,4.83,0,0.81,0.81,0,0,1.61,0
 48-58,0,0,0,0,0,2.3,0,0.57,0.57,0,47.05,0,0,0,3.44,0,0,0,0,0.57,5.16,0.57
 60-70,0,0,0,0,0,2.94,0,0,0,0,51.04,0,0.98,0.98,9.82,0,0,0,0,0,4.91,0
 72-82,0,0,0,0,4.91,3.93,0,0,0.98,0,104.06,0,0.98,0,10.8,0,1.96,0,0,0.98,11.78,0
 84-94,0,0,0,0,1.06,2.12,0,0,0,0,138.06,0,0,0,3.19,0,0,0,0,0,11.68,0
 96-106,0,0,0,0,0,3.28,0,0,1.09,1.09,131.14,0,3.28,0,7.65,0,2.19,0,0,0,10.93,0
108-118,0,0,0,0,0.77,1.53,0,0,0.77,0.77,100.34,0.77,3.83,0,6.89,0,0,0,0,0,4.6,0
120,0,0,0,0,7.84,3.92,0,0,0,0,195.98,0,0,0,7.84,0,1.96,0,0,0,19.6,0
