stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,4.93,0.82,0,0,0,0,4.93,0,9.85,0,0,0,5.75,0,0,32.01,0,0,10.67,4.1,0,0,3.28,0,0,4.1,0.82,0,1.64,0,12.31,0,0
 36-46,1.61,0,0.81,3.22,0,2.42,12.09,1.61,5.64,0,0,0,3.22,0,0.81,82.98,0,0.81,4.03,2.42,0.81,0,0.81,0,0,15.31,1.61,2.42,4.03,0.81,16.11,0,0
 48-58,1.72,0,3.44,5.16,0,17.21,21.8,0,9.75,0,0,0.57,1.15,0,0,125.66,0,1.72,8.61,12.05,0,0,2.87,0,1.15,24.1,0.57,1.72,3.44,0.57,19.51,0.57,0
 60-70,0.98,0,7.85,3.93,0.98,19.63,37.3,0,15.7,0,0,0.98,0,0.98,0,276.79,0,1.96,14.72,19.63,0,0,3.93,0,5.89,15.7,0,2.94,4.91,2.94,21.59,1.96,0.98
 72-82,1.96,1.96,22.58,4.91,0,16.69,67.73,1.96,12.76,0.98,0,0,3.93,0,0,417.21,0,8.83,12.76,15.71,0,0,10.8,0,0.98,28.47,0.98,0.98,6.87,6.87,49.08,3.93,0.98
 84-94,4.25,1.06,21.24,1.06,2.12,27.61,59.47,3.19,6.37,0,0,0,2.12,1.06,1.06,297.37,2.12,7.43,18.05,13.81,0,0,27.61,0,3.19,67.97,1.06,2.12,4.25,4.25,55.23,4.25,0
 96-106,0,2.19,17.49,6.56,2.19,13.11,51.36,1.09,13.11,0,1.09,0,7.65,0,0,320.2,0,8.74,21.86,28.41,0,0,36.06,0,3.28,55.74,3.28,1.09,5.46,7.65,46.99,7.65,3.28
108-118,8.43,0,6.89,6.13,0,8.43,36.77,0.77,11.49,0.77,1.53,0,9.19,1.53,0,256.6,0,1.53,20.68,20.68,0,0.77,24.51,0,5.36,38.3,0,1.53,3.06,6.89,44.43,7.66,3.06
120,1.96,0,15.68,1.96,0,9.8,25.48,0,3.92,0,0,0,5.88,0,0,239.09,0,7.84,19.6,27.44,1.96,0,17.64,0,11.76,45.08,0,0,3.92,1.96,41.16,0,0
