stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,8,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0,0,4.93,0,0,0,0,0.82,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,4.03,0,0,0,0,0,0,14.5,0,0,0,0,1.61,0,0,0,18.53,0,0,0,0,0
 48-58,0,0.57,0,4.02,0,0,30.41,0,0,2.3,0,0,0,14.92,0,0,0,0,2.3,0,0,0,28.69,0,0,0,0,0
 60-70,0,0.98,0,7.85,0,0.98,114.84,0,0,7.85,0,0,0.98,43.19,1.96,0,0,0,5.89,0,0,0,22.58,0,1.96,0,0.98,0
 72-82,0,2.94,0,25.52,2.94,0,183.57,0.98,0,29.45,0,0,0,89.33,0,0.98,0,0,19.63,0,0,0.98,20.61,0.98,11.78,0,6.87,0.98
 84-94,0,11.68,0,25.49,1.06,0,112.58,1.06,2.12,10.62,1.06,1.06,1.06,50.98,0,0,1.06,0,58.41,0,0,0,15.93,1.06,6.37,1.06,2.12,1.06
 96-106,0,12.02,0,16.39,4.37,0,140.98,2.19,4.37,16.39,1.09,1.09,5.46,50.27,0,0,0,0,43.71,1.09,0,2.19,20.76,1.09,12.02,1.09,5.46,0
108-118,0,11.49,0,15.32,3.83,0,134.04,4.6,1.53,12.26,0,0,0.77,55.15,1.53,0,0,0,26.81,0,0,0,9.96,0,4.6,0,2.3,0
120,0,13.72,1.96,17.64,1.96,0,121.51,7.84,0,19.6,0,1.96,0,60.75,1.96,0,0,0,19.6,0,0,0,5.88,0,3.92,0,1.96,0
