stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.29,2.63,0,0,18.4,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.55,3.15,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,12,34,40,0,3,0,0,0,2,28,0,5,5,0,0,0,0,4,0,0,5,132,5,1,0,1,0,1,0,13,10,1,6,81,0,0,12,0,0
 24-34,0,0,2.46,12.31,18.06,4.93,0,14.78,0,1.64,0.82,0.82,21.34,2.46,9.85,10.67,0,0.82,0.82,19.7,9.85,1.64,0,2.46,633.7,7.39,13.13,0,0,0,2.46,0,0.82,11.49,0,1.64,210.96,0,0,28.73,0,21.34
 36-46,0,0,0.81,0,4.83,0,0,63.65,0,0,0,5.64,16.92,0.81,4.83,5.64,3.22,0.81,4.03,38.67,11.28,2.42,0.81,1.61,1576.69,4.03,20.95,0,0,0,0.81,1.61,0,4.83,1.61,0,326.3,0,0,9.67,0,29.81
 48-58,0,0,0,0,8.03,0.57,0,383.3,0.57,2.3,1.15,40.74,25.25,1.15,7.46,2.3,7.46,0,0,32.13,30.41,1.72,1.72,7.46,2097.83,2.87,10.9,1.15,0,1.15,4.02,0,0,2.3,0.57,0,442.98,0,0,8.61,0,45.9
 60-70,0,0,1.96,0,11.78,0.98,0,1378.06,0.98,2.94,0,70.67,43.19,2.94,15.7,2.94,18.65,0,2.94,15.7,67.73,1.96,1.96,3.93,2407.67,2.94,14.72,1.96,0,0.98,2.94,0,0,6.87,0,0,516.28,0.98,0.98,8.83,0.98,19.63
 72-82,0,0,7.85,0,36.32,2.94,0,1805.28,0,4.91,2.94,191.42,90.31,4.91,25.52,3.93,15.71,4.91,0.98,10.8,102.09,1.96,9.82,2.94,1616.8,1.96,17.67,8.83,0,1.96,0.98,0,0,5.89,0,0,241.49,2.94,1.96,29.45,2.94,23.56
 84-94,0,0,7.43,0,45.67,6.37,0,1090.71,1.06,6.37,5.31,156.12,162.49,5.31,45.67,14.87,21.24,1.06,2.12,14.87,82.84,1.06,6.37,7.43,813.52,3.19,14.87,4.25,0,2.12,9.56,0,0,9.56,0,0,135.94,4.25,5.31,24.43,6.37,23.36
 96-106,0,0,3.28,1.09,28.41,4.37,1.09,829.47,1.09,2.19,5.46,145.35,108.19,1.09,53.55,3.28,21.86,2.19,3.28,15.3,65.57,4.37,4.37,7.65,613.09,4.37,21.86,12.02,0,2.19,5.46,1.09,0,9.84,0,0,64.48,2.19,1.09,19.67,4.37,21.86
108-118,0,0,1.53,1.53,23.74,3.06,6.13,530.81,0,3.06,3.83,128.68,67.4,1.53,32.17,2.3,23.74,4.6,3.06,13.02,46.72,0.77,3.06,3.83,662.56,2.3,15.32,5.36,0,0,3.06,0,0,9.19,0.77,0,27.57,6.89,0,16.85,3.83,27.57
120,0,0,1.96,3.92,19.6,9.8,1.96,390,0,3.92,3.92,135.23,64.67,1.96,54.87,5.88,19.6,3.92,5.88,1.96,52.91,0,3.92,3.92,699.64,1.96,17.64,3.92,0,1.96,5.88,0,0,13.72,0,0,48.99,0,1.96,17.64,0,11.76
