stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.17,6.29,0,0,226.58,0,6.29,25.18,0,3.15,0,0,0,0,0,0
 14-21,0,1,1,1,213,32,0,3,0,0,0,75,2,2,0,0,0,2,1,0,204,0,0,234,1961,16,1,4,64,3,305,1,20,340,1038,0,0,0,0,0
 24-34,0,0,0,1.64,109.17,4.1,0,18.06,0,1.64,3.28,91.12,1.64,0,0,0,0,7.39,1.64,0.82,378.41,0.82,0,141.19,1827.23,0,3.28,0,0,5.75,1.64,0,5.75,33.66,692.8,0,0,9.85,0,0
 36-46,0,0,0,0,57.2,1.61,0,8.06,1.61,0,3.22,78.96,0,0,0,0,0,1.61,0,0,370.61,0,0,72.51,1177.89,3.22,0.81,0,0,0.81,1.61,0,6.45,0.81,490.65,0,0,6.45,0,1.61
 48-58,0,0,0,0,67.14,0,0,20.08,1.15,0,4.02,125.09,0,0,0.57,0,0.57,2.87,0,0.57,480.85,0.57,1.15,53.36,413.14,1.72,1.15,1.15,0,2.3,0.57,0,2.3,0,242.72,0,0,1.72,0,0.57
 60-70,0.98,0,0,0,59.87,0.98,0,11.78,0.98,0.98,1.96,98.15,0,0,0,0,0,4.91,0.98,0,485.85,0.98,0.98,37.3,164.9,1.96,0,0.98,0,0,0,0,1.96,0,137.41,0,0.98,2.94,0,0.98
 72-82,0,0,0,0,42.21,0,0,38.28,0.98,0,4.91,154.12,0.98,0,1.96,0,0,8.83,0,0.98,688.14,0.98,3.93,38.28,164.92,0.98,0.98,0.98,0,1.96,0,0,0,0,67.73,0.98,6.87,7.85,0.98,0
 84-94,0,0,0,0,76.47,0,0,64.78,3.19,1.06,4.25,97.71,0,0,1.06,5.31,0,9.56,0,0,526.77,0,3.19,29.74,88.15,1.06,2.12,0,0,0,0,1.06,2.12,0,57.35,1.06,0,3.19,1.06,1.06
 96-106,0,0,0,0,79.78,0,1.09,38.25,1.09,1.09,4.37,102.73,3.28,1.09,3.28,4.37,0,6.56,1.09,0,397.8,0,5.46,26.23,87.43,0,1.09,1.09,0,5.46,0,0,4.37,0,40.44,7.65,3.28,6.56,1.09,1.09
108-118,0.77,0,0,0,44.43,0,0,18.38,4.6,3.06,5.36,80.43,2.3,0.77,0,1.53,0,7.66,0.77,0,357.7,0.77,4.6,17.62,89.62,3.06,0,0,0,2.3,0,0,4.6,0,30.64,11.49,3.06,5.36,0.77,0.77
120,0,0,0,0,21.56,0,0,7.84,5.88,3.92,0,64.67,0,1.96,0,1.96,0,7.84,1.96,0,229.29,0,1.96,15.68,99.95,1.96,0,0,0,0,0,1.96,0,0,11.76,5.88,1.96,1.96,0,0
