stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.28,0,0,0,2.46,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,3.22,0,0,0,0,0,0,0
 48-58,0,0,0,2.3,0,0.57,0,0,0,2.3,0,0.57,0.57,5.16,1.15,0,0.57,0,0.57,0,0
 60-70,1.96,0,0,1.96,0,0.98,0,0,0,6.87,0,0,0.98,0.98,0,0,9.82,0,0,0,0
 72-82,0,0,0,3.93,0.98,0,0,0,0,17.67,0,0,0,3.93,0.98,0,18.65,0,0,0,0
 84-94,3.19,0,0,0,4.25,1.06,1.06,1.06,0,19.12,0,1.06,1.06,3.19,4.25,0,33.99,0,0,0,0
 96-106,24.04,1.09,0,2.19,15.3,0,0,2.19,0,66.66,2.19,2.19,2.19,5.46,3.28,0,108.19,0,1.09,1.09,0
108-118,14.55,0,0.77,0.77,18.38,0,1.53,0,0.77,43.66,0.77,2.3,3.06,4.6,7.66,0,74.3,0,0.77,0,0.77
120,9.8,0,0,0,29.4,0,1.96,0,0,31.36,0,0,0,1.96,5.88,0,41.16,0,0,0,0
