stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,65.89,2108.47,0,0,0,0,0,0,0,0,0,0,65.89,0,0
  5-6,73.56,852.02,0,0,0,0,0,0,0,18.39,0,0,24.52,0,0
  7-9,10.51,7.89,5.26,0,0,15.77,2.63,0,0,157.72,7.89,84.12,0,0,0
 10-12,0,0,3.15,0,0,9.44,3.15,0,0,12.59,0,28.32,0,0,0
 14-21,0,0,0,1,1,0,0,1,0,3,0,0,0,2,1
 24-34,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0
