stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,mural.cell,neural,olfactory,otic,periderm,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0.82,0,27.91,3.28,0,0.82,2.46,0,0.82
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,56.4,1.61,0,0,3.22,0,0
 48-58,0,0.57,0,21.8,0.57,0,0,0,0,0,0.57,0,55.66,4.02,0,0,1.15,0,0
 60-70,0,0,0,42.21,1.96,0,0,0,0.98,0,0,0,86.37,0.98,0,0,4.91,0,0
 72-82,0,0,0,42.21,3.93,0.98,0.98,0.98,0,0,0,0,78.53,1.96,0.98,0,2.94,0,0
 84-94,0,1.06,0,29.74,1.06,2.12,0,7.43,0,2.12,0,1.06,40.36,6.37,0,0,1.06,1.06,0
 96-106,0,3.28,1.09,13.11,3.28,0,0,2.19,0,3.28,1.09,0,31.69,2.19,0,0,2.19,0,0
108-118,0,2.3,0.77,9.96,0.77,0,0,3.06,0,0.77,0.77,0,29.11,0.77,0,0,0.77,0.77,0
120,0,0,0,11.76,1.96,0,0,7.84,0,0,0,0,27.44,3.92,0,0,1.96,0,0
