stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,3,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0.82,0.82,0,60.74,5.75,0,0,0.82,0,0.82,0,0,0,13.95,0,0.82,0,0,0,10.67,1.64,0,0,6.57,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,77.34,0.81,0,0,0,0,0,0,0,0,24.98,0,0.81,0,0,0,6.45,4.03,0,0,1.61,0,0,0,0,3.22
 48-58,0,0,0,1.72,0,0,2.87,0,0.57,0,0,0,84.92,2.3,0,0,0,0,0.57,1.15,0,0,10.33,0,0.57,0.57,0,0,13.2,1.15,0,0,2.3,0,0,0,0,9.75
 60-70,0,0,0,0.98,0,0,8.83,0,0,0.98,0,0,121.71,7.85,0,0.98,0,0,1.96,2.94,0,0,7.85,0,3.93,0,0,0,40.24,4.91,0.98,0,0.98,0,0,0,0,8.83
 72-82,0,0,0,15.71,0.98,0,9.82,0.98,0,0.98,1.96,0.98,156.08,30.43,0.98,2.94,0.98,0,0.98,13.74,0,0,14.72,0,1.96,0,0,0,158.05,2.94,0,0,1.96,1.96,0.98,0,0.98,4.91
 84-94,0,0,0,20.18,0,0,3.19,3.19,0,2.12,1.06,0,194.35,29.74,0,1.06,2.12,0,5.31,5.31,0,1.06,11.68,0,20.18,0,0,0,298.43,15.93,0,0,0,0,0,3.19,0,12.74
 96-106,0,0,0,112.56,3.28,1.09,20.76,27.32,0,13.11,6.56,1.09,254.63,98.36,0,10.93,3.28,2.19,12.02,36.06,1.09,1.09,51.36,1.09,31.69,2.19,1.09,1.09,1221.8,15.3,0,0,2.19,3.28,0,6.56,0,8.74
108-118,0,0,0,112.6,2.3,0.77,10.72,25.28,0,3.83,16.09,0,193.02,78.89,0.77,6.89,3.06,0,13.02,37.53,0.77,1.53,32.94,0.77,24.51,2.3,0,0.77,942.13,12.26,0,0,0,1.53,0,4.6,0,12.26
120,0,0,0,103.87,5.88,0,7.84,66.63,0,1.96,9.8,0,346.88,64.67,0,3.92,3.92,0,9.8,25.48,0,3.92,39.2,3.92,13.72,0,0,0,1070.04,15.68,0,0,0,3.92,0,7.84,0,7.84
