stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,342.63,6971.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.69,0,0,0,0,0,0,0
  5-6,177.76,2298.61,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,36.78,6.13,0,0,24.52,0,42.91,0,0,0,0,0,0,0
  7-9,13.14,10.51,2.63,0,23.66,0,0,0,10.51,0,0,0,0,0,0,0,0,247.1,10.51,0,0,76.23,0,0,10.51,0,0,0,0,0,0
 10-12,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,28.32,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,5,2,0,0,2,0,0,0,0,0,0,1,0,0,17,0,0,0,3,0,0,2,1,0,1,11,0,0
 24-34,0,0,0,0,0.82,1.64,0,0,0,0.82,0,0,0,0,2.46,0,1.64,16.42,0,0.82,0.82,0,0,0,0,0,0,0.82,4.1,0,0.82
 36-46,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,1.61,0,0.81,9.67,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0
 48-58,0,0,0,0,2.87,0,0,1.15,0,0,0,0,0,0,2.3,0.57,1.15,7.46,0.57,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0.98,0,0,1.96,0,0.98,0,0,0,0,4.91,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,0,0.98,0,0.98,0,0,0,0,9.82,0.98,0.98,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,2.12,0,1.06,2.12,0,1.06,1.06,1.06,1.06,1.06,0,0,1.06,4.25,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,3.28,0,1.09,0,0,0,0,6.56,1.09,1.09,4.37,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,2.3,0,0,1.53,0,0,0,0,0,1.53,3.06,0,0,3.83,0,0.77,0,0,0,0,0,0,0.77,0,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0
