stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0,1.64,0,0.82,1.64,0,0,0,0,5.75,0,1.64,9.03,0,0,0,0,1.64,0.82,0
 36-46,0,1.61,0.81,0,0,0,0.81,0,0,4.83,0,2.42,1.61,0,0,0.81,0,0.81,0.81,0
 48-58,0,1.15,0,0.57,0,1.15,0,0,0,4.59,0,1.15,2.87,0,1.15,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,1.96,0.98,0,2.94,0.98,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,1.96,0.98,0.98,6.87,0,0,2.94,0.98,0,0,0,0,0,0.98
 84-94,0,2.12,0,0,0,0,1.06,7.43,3.19,4.25,0,0,1.06,0,0,0,0,1.06,1.06,2.12
 96-106,0,0,0,0,1.09,0,1.09,6.56,0,3.28,2.19,2.19,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0,0.77,16.85,1.53,1.53,1.53,0,3.06,0,0,1.53,0,0,0,0
120,0,3.92,0,0,0,0,1.96,50.95,0,1.96,0,0,3.92,0,0,0,1.96,0,0,0
