stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,2,1,0,0,0,1,0,0,0,1,0,0,1,2,8,0,0,0,1,1,1,6,0,0
 24-34,0.82,0,0,3.28,0,0,0,0,0,2.46,0,0,3.28,1.64,16.42,1.64,0.82,0,2.46,0,0.82,6.57,0.82,0
 36-46,0.81,0,0,3.22,0,0.81,0,0,0,1.61,0,0,4.03,0.81,16.92,0.81,0,0,3.22,0,0,5.64,0,0
 48-58,0,0,0,6.89,0.57,0,0,0,0,0,0.57,0,5.16,1.15,10.9,0,0,0,1.15,0,0,3.44,0.57,0
 60-70,0.98,0,0,21.59,0,2.94,0,0.98,0,0,0,0,4.91,0,11.78,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,7.85,0,0.98,0,0,0,0.98,0,0,1.96,0,8.83,0,0,0,0,0,0,0.98,1.96,0
 84-94,2.12,0,0,10.62,0,1.06,0,0,0,1.06,0,0,4.25,0,5.31,0,0,0,2.12,0,0,0,0,0
 96-106,2.19,0,0,3.28,0,2.19,1.09,0,1.09,0,0,1.09,2.19,0,4.37,1.09,0,0,3.28,0,0,0,0,0
108-118,0.77,0,0,4.6,1.53,0.77,0,0,0,0.77,0,0.77,1.53,0.77,3.06,0,0,0.77,0.77,0,0,0,0,0.77
120,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,7.84,0,1.96,0,0,0,0,0,0,0
