stage,blastomeres,erythrocytes,eye,glial,gut,hatching.gland,lateral.line,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 48-58,0,0,1.15,0,0,0,0.57,0,0,0,0.57,0,0,0
 60-70,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,1.96,0,0.98,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,0,0,0,0,1.06,0,0,0,1.06
108-118,0,0,0,0.77,0,0,0,0,0.77,1.53,0,0,0,0.77
120,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
