stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,1,1,0,1,6,0,0,0,0
 24-34,0,0,16.42,0,0.82,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0,13.13,0.82,4.1,21.34,0,1.64,0.82,0,0,0,0,0,0,0,10.67,0,0,0,0
 36-46,0,0,6.45,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,17.72,0,8.86,34.64,0,0.81,0.81,0,0,0,0,0,0,0,9.67,0,0,0,0
 48-58,0,0,2.3,0,1.15,0,0,0,0,0,0.57,0.57,0,0,0,1.15,0,17.21,3.44,1.72,21.8,0,1.15,0,0,1.15,0,0,0,0,0,10.33,0,0,0,0
 60-70,0,0,3.93,0,10.8,0,0.98,0.98,1.96,0,0,0.98,0,0,0,0.98,0.98,62.82,3.93,2.94,65.76,0,0,0,0,0,0,0,0,0,0,9.82,0,1.96,0,0
 72-82,0,0,4.91,0,32.39,0,0.98,0,3.93,0,0,1.96,0.98,0.98,0,0,0,128.6,12.76,3.93,68.72,0,0.98,0,0,1.96,0.98,0,0,0,0,8.83,0,6.87,1.96,7.85
 84-94,0,0,0,2.12,16.99,0,1.06,2.12,2.12,1.06,0,3.19,0,0,0,0,0,84.96,6.37,4.25,41.42,3.19,0,0,0,1.06,1.06,0,0,0,0,13.81,0,6.37,0,7.43
 96-106,0,0,4.37,0,17.49,1.09,0,1.09,6.56,3.28,0,3.28,0,0,1.09,1.09,0,112.56,12.02,6.56,44.81,0,0,1.09,0,2.19,2.19,0,0,1.09,0,8.74,0,5.46,1.09,8.74
108-118,0,0,9.96,0,13.02,0,6.89,0.77,3.06,5.36,0,3.06,0,0,0.77,0.77,0,129.45,5.36,2.3,45.19,1.53,0,0,0,3.06,0.77,0,0,0,0,7.66,0.77,5.36,0,6.13
120,0,0,3.92,0,15.68,0,7.84,0,5.88,0,0,3.92,0,0,0,3.92,0,66.63,15.68,3.92,52.91,0,0,0,0,1.96,3.92,0,0,0,0,15.68,1.96,3.92,0,0
