stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,4,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,2,0,0
 24-34,1.64,0,0,0.82,0,1.64,0,0,0,0,0,0,3.28,0,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0.81,0,3.22,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0,0.57,0.57,1.15,0,0,0,0,0,0,0
 60-70,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,0,1.06,0,0,1.06,1.06,1.06,0,2.12,0,0,0,0,0,0,0
 96-106,1.09,3.28,0,0,0,1.09,0,1.09,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,2.3,0.77,0,0.77,0,0,0,0.77,0,0.77,0,1.53,0,0,0,0,0,0.77,0
120,0,1.96,0,0,0,0,0,0,1.96,0,3.92,1.96,1.96,0,1.96,0,0,0,0,0
