stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,2.46,0,0,0,50.89,0,0,0,0,0,0,9.85,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,128.91,0,3.22,0.81,0,0,0,8.06,0,0,0,0.81
 48-58,0,0.57,1.15,0.57,18.36,0,0,0,2.87,0,0,0,0,0,0.57,13.2,2.87,0,0,0.57,267.39,0.57,1.72,0.57,0,0,0,12.05,0,0,0,0
 60-70,0,0,0.98,0,106.99,0,0,0,3.93,0,0,0,0,0,0,9.82,2.94,0,0,0,602.65,0,0,0.98,0,0,0,35.33,0,0.98,0,0
 72-82,0,0,4.91,0.98,162.96,0,0,0,20.61,0,0,0,0,0.98,0,0.98,14.72,0.98,0,0.98,725.45,0,3.93,0.98,0,0.98,0,50.06,0,0,0,0
 84-94,0,0,4.25,1.06,152.93,0,1.06,0,13.81,0,0,0,2.12,1.06,0,0,7.43,0,1.06,2.12,384.46,0,1.06,1.06,0,0,0,24.43,1.06,1.06,0,1.06
 96-106,0,0,6.56,2.19,132.23,0,0,0,9.84,0,1.09,1.09,0,0,0,0,9.84,0,0,0,417.47,0,3.28,0,0,2.19,0,24.04,1.09,2.19,0,1.09
108-118,0,0,2.3,0.77,124.09,0.77,0,0.77,9.19,0,0,0,0,0,0,0,13.02,0.77,0,0.77,463.41,0,0.77,0,0,1.53,0.77,12.26,0,0,1.53,0
120,0,0,1.96,0,78.39,0,0,0,11.76,1.96,0,0,0,0,0,0,3.92,0,0,1.96,440.95,1.96,0,1.96,0,1.96,0,13.72,0,0,0,0
