stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,65.89,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,37.76,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,3,3,0,0,0
 24-34,0,0,0,0.82,0,0,24.63,0,0,0,0,0,0,0,0.82,0,0.82,1.64,0.82,1.64,0,0,0,0,2.46,0,0,0.82
 36-46,0,0,0,0,0,0,25.78,0,1.61,0,0,0,0,0,0,0,0,10.47,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,44.18,0,4.59,0,0,0,0,0,0,0,0,14.35,0,1.15,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,1.96,0,0,74.6,0,14.72,0,0,0,0,0,1.96,0,0.98,9.82,0,1.96,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,87.37,0,19.63,0,0,0,0,0,3.93,0,0.98,22.58,0,0.98,0,0,0.98,0,1.96,0,0,0
 84-94,0,0,0,2.12,0,0,161.43,0,19.12,0,2.12,0,0,0,5.31,0,0,9.56,0,4.25,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,2.19,0,0,177.04,1.09,37.16,1.09,0,0,0,2.19,6.56,1.09,1.09,15.3,0,5.46,0,3.28,0,0,1.09,0,1.09,0
108-118,0,0,0,0.77,0.77,0.77,169.28,0,20.68,0,0,0.77,0.77,0.77,4.6,0,0.77,16.85,0,2.3,0,0.77,0,0,0.77,0.77,0.77,0.77
120,0,0,0,3.92,0,0,84.27,0,15.68,0,0,0,0,0,1.96,0,0,19.6,0,3.92,0,0,0,0,1.96,0,0,0
