stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,24.52,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,2.63,5.26,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,1,0,14,0,0,0,0,0,1,0,5,1,1,0,1,1,10,30,0,0,0
 24-34,0,0,0,0,0,0,0,0,19.7,0,0,0.82,0,0,0.82,0,21.34,10.67,2.46,0,0.82,0,15.6,37.76,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,10.47,0,0.81,0,0,0.81,0,0.81,24.17,15.31,0.81,0,0,0,4.83,31.42,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0,22.95,0,0,0,0,0,1.72,0,21.8,13.77,2.3,0,0,0,3.44,35.58,0,0,0
 60-70,0,0,0,0,0,0,3.93,0,11.78,0,0,0.98,0,0,0,0,26.5,9.82,1.96,0,0.98,0,1.96,8.83,0,0,0
 72-82,0,0,1.96,0,0,0,3.93,0,30.43,0,0,0.98,0,0,2.94,0,55.95,32.39,3.93,0,0.98,0,1.96,22.58,0,0,0.98
 84-94,0,0,0,0,0,0,9.56,0,28.68,1.06,0,2.12,0,0,3.19,0,19.12,23.36,16.99,0,2.12,0,4.25,11.68,1.06,0,0
 96-106,0,0,0,0,0,1.09,2.19,0,37.16,1.09,0,5.46,0,0,4.37,0,16.39,45.9,17.49,0,0,0,2.19,18.58,0,0,0
108-118,0,0,0,0.77,1.53,0,3.06,0,25.28,0,0,2.3,0,0,0,0,16.09,25.28,14.55,0,0,0,3.06,7.66,0,0.77,0
120,0,0,0,0,0,0,1.96,1.96,19.6,0,0,9.8,1.96,0,11.76,0,37.24,27.44,13.72,0,1.96,0,7.84,11.76,0,0,0
