stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,1,0,0,0,1,0,0,31,0,0,2,0,0
 24-34,0,0,0,0,1.64,0,16.42,0,0,0,0,0,0,0.82,0,0,0,2.46,0,0,0,495.8,0,3.28,1.64,0,0,0,0,0,0,98.5,0,0,14.78,0,0
 36-46,0,0,0,0,1.61,0,95.87,0,0,0,14.5,0,0,2.42,0,0,0.81,0.81,0.81,0,0,1088.46,0,1.61,0.81,0,0,0.81,0,0,0,223.17,0,0,10.47,0,0
 48-58,0,0,0,0,0.57,0.57,190.5,0,0,0,33.28,0,1.15,2.3,0,0.57,0,5.16,0,0,0.57,1003.01,0,1.15,0,0,0,0,0,0,0,170.42,0,0,3.44,0,0.57
 60-70,0,0,0,0,1.96,0.98,478,0,1.96,0.98,39.26,0,0,6.87,0,0.98,0,6.87,0,0,0.98,1549.82,0,2.94,2.94,0,0,0,0,0.98,0.98,181.58,0,2.94,11.78,0,0
 72-82,0,0,0,0,1.96,1.96,257.2,0,0.98,0.98,33.38,0,0.98,3.93,0,0,0.98,12.76,0,0,0.98,781.4,0,0,0,0,0.98,0.98,0,0,0,76.57,1.96,0.98,17.67,0,0.98
 84-94,0,0,0,0,8.5,2.12,199.66,1.06,1.06,0,31.86,0,0,10.62,1.06,0,1.06,11.68,0,1.06,0,398.26,0,1.06,0,0,0,1.06,0,0,0,43.54,0,0,7.43,1.06,0
 96-106,0,0,1.09,0,4.37,1.09,87.43,0,0,1.09,19.67,0,1.09,16.39,0,0,0,5.46,0,0,0,276.49,0,0,0,0,0,0,0,0,0,14.21,0,0,13.11,0,0
108-118,0,0,0,0,4.6,0,78.13,0,0,0,9.19,0.77,0,17.62,0.77,0,0,3.83,0,0.77,0.77,274.98,0,1.53,0,0,0,0.77,0,0,0,13.79,0.77,0,9.96,0.77,0
120,0,0,0,0,7.84,3.92,72.51,0,0,0,21.56,0,1.96,13.72,0,0,0,11.76,0,0,0,274.37,0,1.96,0,0,0,1.96,0,0,0,11.76,0,0,29.4,0,0
