stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,9,0,0,0,0,0
 24-34,0,1.64,0,2.46,0.82,3.28,0,9.85,0,10.67,0,0,0,0,0,0.82,0,0.82,0,0,0,0.82,195.36,0,0.82,0,0,0,0,0,29.55,0,0,0,0,0
 36-46,0,0,0,0.81,0,4.03,0,3.22,0,15.31,0,0,0,0,0,0,0,0,3.22,0,0,2.42,476.15,0.81,0.81,0.81,0,0,0,0,45.12,0,0,0,0,0
 48-58,0,0,0,1.72,0,28.69,0,0.57,0,28.69,0,0,1.15,0,0.57,1.15,0,1.15,12.62,0,0.57,2.87,751.11,0.57,0.57,1.15,0,0.57,1.72,0,56.23,0,0.57,1.15,0,0.57
 60-70,0,1.96,0,2.94,0,94.23,0,1.96,0,51.04,0.98,0,0.98,0,0,0,0,0,13.74,0,0.98,0.98,1186.66,0,0,1.96,0,1.96,2.94,0,120.73,0,0,0.98,1.96,0
 72-82,0,0,0,8.83,4.91,169.83,0,0,0,63.81,0.98,0,0.98,0,0,0,0,0.98,28.47,0.98,0,0.98,1304.63,0,0.98,2.94,0,2.94,2.94,0,111.91,0.98,0,1.96,2.94,4.91
 84-94,0,3.19,0,9.56,0,134.88,0,0,1.06,55.23,0,2.12,1.06,1.06,1.06,0,1.06,0,23.36,0,1.06,1.06,782.72,0,1.06,5.31,0,4.25,3.19,0,63.72,1.06,1.06,2.12,1.06,1.06
 96-106,0,1.09,0,12.02,2.19,107.1,1.09,0,1.09,61.2,1.09,1.09,0,1.09,0,0,0,0,20.76,0,2.19,0,605.44,0,1.09,10.93,0,5.46,5.46,1.09,30.6,0,0,2.19,1.09,0
108-118,0,2.3,0,10.72,0.77,87.32,0,0,0.77,68.94,0,0,0,0.77,0,0,0.77,0.77,12.26,0,0,1.53,840.26,0,0,6.13,0,3.06,0,0,22.21,0.77,0,2.3,1.53,0
120,3.92,3.92,0,9.8,0,62.71,0,0,1.96,54.87,0,0,1.96,0,0,1.96,1.96,0,3.92,0,1.96,0,791.75,0,1.96,1.96,0,3.92,0,0,27.44,0,0,0,0,0
