stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,20.95,0.81,0,0,0,0,0.81,3.22,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,33.85,0,0,0,2.3,0,0,5.74,0.57,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,2.94,0,0,0,34.35,0,0,0,0,0,0,6.87,0,0,0,0,0.98,0,0,0,0,0
 72-82,1.96,0,0,3.93,0,1.96,0.98,56.94,0,0,0,2.94,0,0,9.82,0,0,0,0,1.96,0,0.98,0.98,0,0.98
 84-94,1.06,0,0,0,0,1.06,2.12,64.78,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0
 96-106,2.19,2.19,0,6.56,1.09,1.09,1.09,73.22,0,1.09,0,2.19,1.09,0,12.02,0,0,0,1.09,0,1.09,0,0,0,0
108-118,0.77,0,0.77,3.06,0,0,0,61.28,0.77,0.77,0.77,5.36,0.77,0.77,13.02,1.53,0.77,0,3.06,0,0,0,0,0,0.77
120,0,1.96,0,1.96,0,0,0,82.31,0,0,0,1.96,0,0,15.68,0,0,0,0,0,0,0,0,0,0
