stage,blastomeres,epidermis,eye,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,2.63,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,2.46,0,0.82,0,0,0.82,0
 36-46,0,0,0,0.81,0,0.81,0,1.61,0,0,0,0
 48-58,0,0,0.57,0,0,2.87,0,1.15,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,1.09,0,2.19,0,1.09,0,0
108-118,0,0,0.77,0,0.77,0.77,0,0.77,0,0,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0,0
