stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mural_cell,neural,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,18.65,0,0.98,0,0.98,3.93,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,0,1.06,32.92,0,0,0,0,3.19,0,0,0,1.06,0,0,0,0,0
 96-106,1.09,3.28,9.84,1.09,0,4.37,194.53,0,0,4.37,0,21.86,1.09,0,2.19,0,1.09,1.09,0,1.09,2.19
108-118,0.77,0,4.6,0,1.53,0.77,328.6,0,0.77,5.36,0,19.92,0,0,2.3,0,0,2.3,1.53,0,0
120,1.96,0,5.88,0,0,0,276.33,1.96,0,5.88,0,25.48,0,1.96,1.96,0,0,0,0,0,0
