stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,0,6,0,0
 24-34,0,0,2.46,0,0,0,0,1.64,0,0,0,0,0,0,0.82,186.33,3.28,0,0,0.82,0,25.45,0,0,19.7,0,0
 36-46,0,0,32.23,0,0,0,0,0,0,0,0,0,0.81,0,0,398,2.42,0,0,0,0,49.15,0,0,17.72,0,0
 48-58,1.72,0,148.62,0,0,3.44,0,0.57,0,0.57,0,0.57,2.87,0,1.15,502.08,0,0,0,0,0,54.51,0,0,12.05,0,0
 60-70,1.96,0,523.15,0.98,0,5.89,0,4.91,0,0,0,0,2.94,0,0.98,1038.45,3.93,0,0,0.98,0.98,107.97,0,0,16.69,0.98,0.98
 72-82,0.98,0,272.9,0,0,15.71,0,2.94,0,0,0,0,3.93,0,0,595.87,1.96,0.98,0,0,0,46.14,0,0.98,35.34,0,1.96
 84-94,2.12,0,159.31,0,2.12,8.5,0,1.06,1.06,0,0,0,8.5,2.12,0,250.64,1.06,1.06,0,0,0,19.12,1.06,0,28.68,0,0
 96-106,1.09,0,77.59,1.09,0,3.28,0,1.09,1.09,1.09,0,0,2.19,0,0,160.65,1.09,0,0,1.09,0,4.37,0,0,26.23,0,0
108-118,4.6,0,45.19,0,0,2.3,0,1.53,0.77,0,0,0,3.83,0,0,165.45,0.77,0,0,0,0,5.36,0,0,16.85,0,0
120,1.96,0,45.08,0,0,1.96,1.96,1.96,0,0,1.96,0,1.96,0,1.96,125.43,0,0,0,0,0,7.84,0,0,19.6,0,0
