stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,2661.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,496.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,26.29,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,5.26,0,0,2.63,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,9.44,0,0,3.15,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,32,70,0,5,0,0,0,0,8,1,7,0,13,0,1,0,6,2,0,1,21,5,1,8,0,0,28,1,8,4,10,6,0,0,31,0,0
 24-34,0,0,0,4.1,9.03,5.75,0,3.28,0,0.82,0,0,8.21,0,15.6,1.64,6.57,0,4.1,1.64,4.93,4.93,0.82,1.64,57.46,1.64,1.64,8.21,0,0.82,59.1,0,14.78,0,0.82,3.28,0,0,94.4,0,0
 36-46,0,0,0,1.61,4.03,0,0,4.03,0,0.81,0,0.81,7.25,0,12.09,1.61,2.42,0,1.61,4.03,4.83,7.25,1.61,1.61,64.45,0,6.45,4.83,0,0,48.34,0.81,6.45,0,0,0.81,0,0,80.57,0,0
 48-58,0,0,0,2.3,3.44,0.57,0,8.61,0,0,0,1.72,8.61,0.57,29.84,0.57,1.72,0,1.72,5.16,8.03,8.61,5.16,1.15,36.15,0,4.02,3.44,0,4.59,34.43,0,2.87,0,0,1.72,0,0.57,97.55,0,0.57
 60-70,0,0,0.98,0,6.87,0,0,32.39,0,0,0,3.93,25.52,0,23.56,0,0,0,1.96,2.94,19.63,7.85,3.93,1.96,45.15,0.98,3.93,3.93,0,4.91,32.39,0,3.93,0,0,0.98,1.96,2.94,68.71,0,0
 72-82,0,0,14.72,0.98,5.89,1.96,0,84.42,0,1.96,1.96,12.76,81.48,1.96,42.21,2.94,5.89,0.98,7.85,6.87,37.3,14.72,22.58,5.89,70.68,0,7.85,8.83,0,6.87,31.41,0,5.89,0,0,2.94,2.94,3.93,174.74,3.93,0
 84-94,0,0,7.43,5.31,19.12,1.06,0,115.76,0,1.06,1.06,10.62,160.37,2.12,24.43,2.12,11.68,0,2.12,11.68,37.17,14.87,16.99,3.19,61.6,0,3.19,10.62,0,3.19,106.2,0,18.05,0,0,1.06,15.93,6.37,156.12,2.12,0
 96-106,0,0,7.65,5.46,33.88,3.28,2.19,148.63,0,5.46,0,17.49,182.51,0,53.55,7.65,5.46,0,6.56,15.3,56.83,15.3,28.41,4.37,62.29,0,8.74,9.84,0,8.74,87.43,1.09,9.84,0,0,0,15.3,6.56,201.08,2.19,0
108-118,0.77,0,7.66,9.19,21.45,3.06,6.89,166.98,0,1.53,2.3,16.85,156.26,0,29.11,3.06,7.66,0,7.66,16.09,39.83,6.13,28.34,0.77,51.32,2.3,4.6,8.43,0,5.36,54.38,0,8.43,0,0,0,23.74,2.3,157.79,0,0
120,0,0,1.96,1.96,39.2,3.92,5.88,68.59,3.92,3.92,1.96,1.96,70.55,0,31.36,5.88,5.88,0,1.96,13.72,35.28,5.88,43.12,3.92,48.99,1.96,5.88,13.72,0,7.84,64.67,0,11.76,0,0,0,3.92,7.84,145.02,0,0
