stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,128,9,0,28,0,0,0,2,2,1,2,0,1,0,0,0,2,53,0,0,66,239,6,0,3,5,0,4,18,1,1,50,39,0,0,0,0,0
 24-34,0,0,0.82,8.21,0.82,0,0,0,0.82,0.82,0.82,0,0,0,0,0.82,0,0,0,0,18.88,0,0.82,2.46,22.98,0,0,0,0,0,22.16,0,1.64,0,0.82,6.57,0,0,2.46,0,0
 36-46,0,0,0,11.28,0,0,4.83,0,5.64,0,4.83,0.81,0,0.81,0,0,0,0,0,0.81,20.14,0.81,1.61,6.45,46.73,3.22,1.61,6.45,0,0,16.11,0,8.86,0,0,8.86,0,0,4.03,0,0
 48-58,0,0,0,3.44,0,0,2.3,0,2.87,0,1.15,0,0,0,1.15,0,0,0.57,0,0,5.74,0,1.72,2.3,8.61,0,0,0,0,0,6.89,0,2.87,0,0,1.72,0,0.57,0.57,0,0.57
 60-70,0,0,0,12.76,0,0,21.59,0.98,9.82,0,23.56,0,0,0,6.87,0,0,0,2.94,0,32.39,0,1.96,0.98,39.26,0.98,0,9.82,0,0,15.7,0,2.94,0,0,10.8,0.98,5.89,0.98,0.98,0
 72-82,0,0,0,4.91,0,1.96,6.87,0.98,0,0,7.85,0.98,0,0,7.85,0,0.98,0,0.98,0,18.65,0,0.98,3.93,21.6,0.98,0.98,1.96,0,0.98,10.8,0,2.94,0,0,2.94,0.98,0,3.93,0.98,0
 84-94,0,0,0,6.37,1.06,2.12,11.68,0,2.12,0,7.43,1.06,0,1.06,14.87,1.06,1.06,0,0,0,14.87,1.06,0,5.31,11.68,0,0,4.25,0,0,16.99,0,7.43,0,0,2.12,0,2.12,6.37,1.06,1.06
 96-106,0,0,0,14.21,1.09,4.37,10.93,1.09,3.28,0,12.02,3.28,0,2.19,19.67,10.93,0,0,4.37,0,27.32,0,2.19,5.46,22.95,0,2.19,6.56,0,3.28,146.44,0,5.46,0,0,1.09,0,1.09,2.19,3.28,1.09
108-118,0,0,0.77,15.32,0,42.13,6.13,0,6.13,0,21.45,4.6,0,0,16.09,14.55,2.3,0,1.53,0,27.57,2.3,1.53,8.43,22.98,3.83,0.77,12.26,0,0.77,112.6,0,9.96,0,0,0.77,0.77,0,5.36,0.77,0.77
120,0,0,0,29.4,1.96,7.84,7.84,0,15.68,0,15.68,5.88,0,0,35.28,15.68,3.92,1.96,0,0,25.48,9.8,5.88,19.6,39.2,0,1.96,3.92,0,1.96,231.25,0,3.92,0,0,1.96,0,0,9.8,0,0
